indice,ambito_isced,cod_plan,cod_mec,curso_aca,municipio,nacionalidad,nuevo_ingreso,provincia,rama,sexo,titulacion,nombre_plan_propio,universidad,cod_universidad,cod_tipo_matricula,tipo_matricula,id
28,Ciencias,SALUD-Enfermería,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ciencias de la Salud,Masculino,Grado en Enfermería,SALUD-Enfermería-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,KKK00000
29,Tecnología,ING-Electrónica,Y7X359,2018/2019,Santa Cruz de Tenerife,Portugal,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Electrónica-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,PPP22222
30,Tecnología,ING-Electrónica,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,aZsIK#####
31,Tecnología,SALUD-Enfermería,Y7X359,2020/2021,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,KmKav#####
32,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,pcnXz#####
33,Tecnología,ING-Electrónica,Y7X359,2022/2023,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,zZBZw#####
34,Tecnología,ING-Electrónica,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,SiySb#####
35,Tecnología,SALUD-Enfermería,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,oLwtq#####
36,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,aHyil#####
37,Tecnología,M-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,mkbqy#####
38,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,NvhIE#####
39,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,mMEQl#####
40,Tecnología,M-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,jiwuX#####
41,Tecnología,M-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,aHjjc#####
42,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VWIYh#####
43,Tecnología,M-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,IDHHS#####
44,Tecnología,M-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,hxbAI#####
45,Tecnología,SALUD-Enfermería,Y7X359,2019/2020,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,rOBZt#####
46,Tecnología,SALUD-Enfermería,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,ByhOj#####
47,Tecnología,ING-Electrónica,Y7X359,2022/2023,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,xvSar#####
48,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,InXNL#####
49,Tecnología,SALUD-Enfermería,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,oVKzi#####
50,Tecnología,SALUD-Enfermería,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,WMmvh#####
51,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,lHDMa#####
52,Tecnología,SALUD-Enfermería,Y7X359,2022/2023,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,oIrTK#####
53,Tecnología,ING-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,szjvL#####
54,Tecnología,M-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,mbcju#####
55,Tecnología,ING-Electrónica,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,TaUJS#####
56,Tecnología,M-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,yOICV#####
57,Tecnología,SALUD-Enfermería,Y7X359,2019/2020,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,eDfbk#####
58,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,ZAodn#####
59,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,YREnr#####
60,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,xvYWP#####
61,Tecnología,ING-Electrónica,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,kxsqY#####
62,Tecnología,M-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,zpugf#####
63,Tecnología,ING-Electrónica,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,UAtDN#####
64,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,HUxZt#####
65,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VrxJg#####
66,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,itqLk#####
67,Tecnología,SALUD-Enfermería,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,AIgPj#####
68,Tecnología,ING-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,pnBVC#####
69,Tecnología,M-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,PrRcn#####
70,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,TddkT#####
71,Tecnología,ING-Electrónica,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,nwOjw#####
72,Tecnología,ING-Electrónica,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,BycRR#####
73,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,fFvHt#####
74,Tecnología,ING-Electrónica,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,hpvRX#####
75,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,IVHBl#####
76,Tecnología,M-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,cjJYf#####
77,Tecnología,ING-Electrónica,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,MPUWz#####
78,Tecnología,ING-Electrónica,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,lxMtC#####
79,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EKEix#####
80,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EZwUN#####
81,Tecnología,SALUD-Enfermería,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,IUVeb#####
82,Tecnología,ING-Electrónica,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,jBacK#####
83,Tecnología,M-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,UVywz#####
84,Tecnología,SALUD-Enfermería,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,gaPuY#####
85,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,dESkZ#####
86,Tecnología,ING-Electrónica,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VpLgG#####
87,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,rPGDH#####
88,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,eoFmi#####
89,Tecnología,ING-Electrónica,Y7X359,2017/2018,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,lgVTl#####
90,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,mMpUC#####
91,Tecnología,ING-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,BvDyW#####
92,Tecnología,M-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,bIYZY#####
93,Tecnología,SALUD-Enfermería,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VisXm#####
94,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,fiPRH#####
95,Tecnología,SALUD-Enfermería,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,zLkVX#####
96,Tecnología,SALUD-Enfermería,Y7X359,2022/2023,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Enfermería,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,pChkY#####
97,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,LHWdY#####
98,Tecnología,ING-Electrónica,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Electrónica,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,RujdF#####
99,Tecnología,ING-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,YmdVV#####
