indice,cod_plan,curso_aca,id,nota_media,plan,universidad,cod_universidad
19,Grado-en-Ingeniería-Electrónica,2021/2022,uwhIO#####,8.77,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
20,Grado-en-Ingeniería-Informática,2024/2025,pKGyk#####,8.82,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
21,Grado-en-Ingeniería-Informática,2023/2024,nGHhW#####,6.69,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
22,Máster-Universitario-en-Ingeniería-Informática,2021/2022,FNEyy#####,6.26,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
23,Grado-en-Ingeniería-de-Telecomunicaciones,2021/2022,kEXcc#####,7.45,Grado-en-Ingeniería-de-Telecomunicaciones-Plan Propio,Universidad de la Laguna,ULL015
24,Grado-en-Ingeniería-Informática,2025/2026,QWBkj#####,6.01,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
25,Grado-en-Matemáticas-Aplicadas,2023/2024,nVbGm#####,9.29,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
26,Máster-Universitario-en-Ingeniería-Informática,2020/2021,klQsW#####,7.62,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
27,Grado-en-Enfermería,2022/2023,mzVlY#####,9.53,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
28,Máster-Universitario-en-Ingeniería-Informática,2024/2025,eFLzU#####,6.9,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
29,Grado-en-Ingeniería-Electrónica,2021/2022,HyOkE#####,6.11,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
30,Grado-en-Enfermería,2024/2025,QZgME#####,6.68,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
31,Grado-en-Ingeniería-Electrónica,2022/2023,HSCdO#####,8.11,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
32,Grado-en-Matemáticas-Aplicadas,2021/2022,AgXqj#####,8.6,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
33,Grado-en-Ingeniería-Informática,2020/2021,bUgac#####,5.74,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
34,Máster-Universitario-en-Ingeniería-Informática,2025/2026,OumFW#####,7.25,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
35,Grado-en-Enfermería,2023/2024,JCMkf#####,7.68,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
36,Grado-en-Ingeniería-Informática,2025/2026,EIldE#####,7.49,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
37,Grado-en-Enfermería,2022/2023,SnMqp#####,5.67,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
38,Grado-en-Enfermería,2024/2025,AkAzT#####,7.37,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
39,Grado-en-Ingeniería-Electrónica,2023/2024,eHlBL#####,9.82,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
40,Grado-en-Matemáticas-Aplicadas,2022/2023,LIWPC#####,5.92,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
41,Grado-en-Enfermería,2020/2021,LcSPR#####,6.83,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
42,Grado-en-Ingeniería-Electrónica,2025/2026,GvaWB#####,7.38,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
43,Grado-en-Enfermería,2020/2021,KaMIw#####,5.48,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
44,Grado-en-Enfermería,2023/2024,zZkOe#####,5.01,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
45,Grado-en-Ingeniería-Electrónica,2023/2024,aSlhX#####,5.16,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
46,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,UhnYS#####,7.7,Grado-en-Ingeniería-de-Telecomunicaciones-Plan Propio,Universidad de la Laguna,ULL015
47,Grado-en-Enfermería,2025/2026,bVTdA#####,6.23,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
48,Grado-en-Enfermería,2024/2025,kuHwb#####,5.2,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
49,Grado-en-Ingeniería-Informática,2025/2026,DDuuE#####,6.08,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
50,Grado-en-Ingeniería-Informática,2021/2022,vgzmd#####,6.6,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
51,Grado-en-Ingeniería-Electrónica,2024/2025,RWQXL#####,8.39,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
52,Grado-en-Enfermería,2020/2021,gsFia#####,7.02,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
53,Grado-en-Enfermería,2024/2025,WXUWd#####,5.27,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
54,Grado-en-Enfermería,2025/2026,MkbFh#####,7.72,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
55,Grado-en-Matemáticas-Aplicadas,2020/2021,BJIRc#####,7.24,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
56,Grado-en-Ingeniería-Informática,2022/2023,SFVMT#####,8.36,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
57,Grado-en-Ingeniería-Informática,2024/2025,mhidY#####,8.87,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
58,Grado-en-Ingeniería-Electrónica,2022/2023,wYzJA#####,7.62,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
59,Grado-en-Matemáticas-Aplicadas,2020/2021,EHPEe#####,9.22,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
60,Grado-en-Matemáticas-Aplicadas,2020/2021,WAMZG#####,5.6,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
61,Grado-en-Ingeniería-de-Telecomunicaciones,2022/2023,bBrgX#####,6.26,Grado-en-Ingeniería-de-Telecomunicaciones-Plan Propio,Universidad de la Laguna,ULL015
62,Grado-en-Ingeniería-Informática,2021/2022,cNjEj#####,8.88,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
