indice,asignatura,calif_numerica,calif,cod_asig,cod_plan,conv,curso_aca,id,plan,universidad,cod_universidad
98,Sistemas de Interacción Persona-Computador,7.5,Notable,3568974SIP,ING-Informática,Enero,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
99,Lenguajes y Paradigmas de Programación,7.2,Notable,3568974LPP,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
100,Gestión de Proyectos Informáticos,6.8,Aprobado,3568974GPI,ING-Informática,Enero,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
101,Modelado de Sistemas Software,,No presentado,3568974MSS,ING-Informática,Junio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
102,Modelado de Sistemas Software,,No presentado,3568974MSS,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
103,Modelado de Sistemas Software,,No presentado,3568974MSS,ING-Informática,Septiembre,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
104,Modelado de Sistemas Software,7.2,Notable,3568974MSS,ING-Informática,Mayo,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
105,Análisis de Sistemas Software,5.3,Aprobado,3568974ASS,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
106,Gestión de la Calidad,9.0,Sobresaliente,3568974GCA,ING-Informática,Junio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
107,Gestión de Riesgos en Ingeniería del Software,9.0,Sobresaliente,3568974GRI,ING-Informática,Junio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
108,Administración y Diseño de Bases de Datos,5.9,Aprobado,3568974ADB,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
109,Ingeniería Logística,8.5,Notable,3568974LOG,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
110,Inteligencia Emocional,5.7,Aprobado,3568974IEM,ING-Informática,Mayo,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
111,Laboratorio de Desarrollo y Herramientas,8.8,Notable,3568974LDH,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
112,Normativa y Regulación,7.1,Notable,3568974NOR,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
113,Diseño Arquitectónico y Patrones,,No presentado,3568974DAP,ING-Informática,Julio,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
114,Diseño Arquitectónico y Patrones,,No presentado,3568974DAP,ING-Informática,Enero,2022/2023,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
115,Diseño Arquitectónico y Patrones,8.7,Notable,3568974DAP,ING-Informática,Enero,2023/2024,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
116,Estadística,,No presentado,3012315EST,ING-Informática,Julio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
117,Estadística,,No presentado,3012315EST,ING-Informática,Septiembre,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
118,Estadística,,No presentado,3012315EST,ING-Informática,Enero,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
119,Estadística,5.3,Aprobado,3012315EST,ING-Informática,Julio,2021/2022,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
120,Modelado de Datos,7.0,Notable,3568974MOD,ING-Informática,Junio,2020/2021,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
121,Álgebra,9.5,Sobresaliente,3012315ALG,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
122,Informática Básica,9.0,Sobresaliente,3012315INF,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
123,Cálculo,7.0,Notable,3012315CAL,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
124,Fundamentos Físicos,7.0,Notable,3012315FIS,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
125,Algoritmos y Estructuras de Datos,6.0,Aprobado,3012315AED,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
126,Principios de Computadores,9.5,Sobresaliente,3012315PRI,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
127,Optimización,9.5,Sobresaliente,3012315OPT,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
128,Sistemas Electrónicos Digitales,8.7,Notable,3012315SED,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
129,Expresión Gráfica,9.5,Sobresaliente,3012315EXP,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
130,Organizaciones Empresariales,9.5,Sobresaliente,3012315ORG,ING-Informática,1,2017/2018,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
131,Estructuras de Computadores,7.0,Notable,3012315EST,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
132,Sistemas Operativos,5.0,Aprobado,3012315SIS,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
133,Inglés Técnico,9.5,Sobresaliente,3012315ING,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
134,Fundamentos de Ingeniería del Software,9.0,Sobresaliente,3012315FIS,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
135,Código Deontológico y Aspectos Legales,8.0,Notable,3012315COD,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
136,Estadística,9.5,Sobresaliente,3012315EST,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
137,Computabilidad y Algoritmia,5.1,Aprobado,3012315COM,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
138,Algoritmos y Estructuras de Datos Avanzados,7.5,Notable,3568974ALA,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
139,Redes y Sistemas Distribuidos,9.5,Sobresaliente,3568974RED,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
140,Administración de Sistemas,8.5,Notable,3568974ADM,ING-Informática,1,2018/2019,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
141,Sistemas de Interacción Persona-Computador,9.5,Sobresaliente,3568974SIP,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
142,Gestión de Proyectos Informáticos,9.5,Sobresaliente,3568974GPI,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
143,Modelado de Datos,9.5,Sobresaliente,3568974MOD,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
144,Gestión de la Calidad,9.5,Sobresaliente,3568974GCA,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
145,Bases de Datos,9.5,Sobresaliente,3568974BDA,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
146,Inteligencia Artificial,6.7,Notable,3568974INT,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
147,Modelado de Sistemas Software,6.9,Aprobado,3568974MSS,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
148,Análisis de Sistemas Software,5.0,Aprobado,3568974ASS,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
149,Gestión de Riesgos en Ingeniería del Software,9.5,Sobresaliente,3568974GRI,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
150,Lenguajes y Paradigmas de Programación,9.5,Sobresaliente,3568974LPP,ING-Informática,1,2019/2020,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
151,Administración y Diseño de Bases de Datos,8.5,Notable,3568974ADB,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
152,Ingeniería Logística,9.5,Sobresaliente,3568974LOG,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
153,Inteligencia Emocional,9.5,Sobresaliente,3568974IEM,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
154,Laboratorio de Desarrollo y Herramientas,9.5,Sobresaliente,3568974LDH,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
155,Normativa y Regulación,9.5,Sobresaliente,3568974NOR,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
156,Diseño Arquitectónico y Patrones,9.5,Sobresaliente,3568974DAP,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
157,Álgebra,4.5,Suspenso,3012315ALG,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
158,Informática Básica,2.5,Suspenso,3012315INF,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
159,Cálculo,1.5,Suspenso,3012315CAL,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
160,Fundamentos Físicos,5.0,Aprobado,3012315FIS,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
161,Algoritmos y Estructuras de Datos,5.3,Aprobado,3012315AED,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
162,Principios de Computadores,1.5,Suspenso,3012315PRI,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
163,Optimización,4.1,Suspenso,3012315OPT,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
164,Sistemas Electrónicos Digitales,7.2,Notable,3012315SED,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
165,Expresión Gráfica,8.3,Notable,3012315EXP,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
166,Organizaciones Empresariales,3.0,Suspenso,3012315ORG,ING-Informática,1,2017/2018,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
167,Estructuras de Computadores,4.5,Suspenso,3012315EST,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
168,Sistemas Operativos,4.5,Suspenso,3012315SIS,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
169,Inglés Técnico,8.5,Notable,3012315ING,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
170,Fundamentos de Ingeniería del Software,5.5,Aprobado,3012315FIS,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
171,Código Deontológico y Aspectos Legales,9.5,Sobresaliente,3012315COD,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
172,Estadística,7.5,Notable,3012315EST,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
173,Computabilidad y Algoritmia,1.9,Suspenso,3012315COM,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
174,Algoritmos y Estructuras de Datos Avanzados,4.5,Suspenso,3568974ALA,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
175,Redes y Sistemas Distribuidos,6.0,Aprobado,3568974RED,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
176,Administración de Sistemas,2.5,Suspenso,3568974ADM,ING-Informática,1,2018/2019,CVM56789,Plan 2018,Universidad de la Laguna,ULL015
177,Trabajo Fin de Grado,9.5,Sobresaliente,3568974TFG,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
178,Prácticas Externas,9.5,Sobresaliente,3568974PRE,ING-Informática,1,2020/2021,VMM14584,Plan 2018,Universidad de la Laguna,ULL015
179,Trabajo Fin de Grado,9.5,Sobresaliente,3568974TFG,ING-Informática,1,2023/2024,FPM12345,Plan 2018,Universidad de la Laguna,ULL015
180,Prácticas Externas,9.5,Sobresaliente,3568974PRE,ING-Informática,1,2023/2024,FPM12345,Plan 2018,Universidad de la Laguna,
181,Informática Básica,7.6,Notable,3012315INF,ING-Informática,Enero,2018/2019,FRA98765,Plan 2018,Universidad de la Laguna,ULL015
182,Álgebra,5.0,Aprobado,3012315ALG,ING-Informática,Enero,2018/2019,FRA98765,Plan 2018,Universidad de la Laguna,ULL015
183,Cálculo,,No presentado,3012315CAL,ING-Informática,Julio,2018/2019,FRA98765,Plan 2018,Universidad de la Laguna,ULL015
184,Cálculo,,No presentado,3012315CAL,ING-Informática,Septiembre,2018/2019,FRA98765,Plan 2018,Universidad de la Laguna,ULL015
185,Cálculo,,No presentado,3012315CAL,ING-Informática,Enero,2018/2019,FRA98765,Plan 2018,Universidad de la Laguna,ULL015
