indice,conv,curso_aca,especialidad,id,nota_bach,nota_def,nota_prue,universidad,cod_universidad
44,C24,2023/2024,autem,TUj75109,7.75,7.91,6.83,Universidad de La Laguna,ULL03
45,C36,2023/2024,sed,rzx38809,8.26,5.41,9.1,Universidad de La Laguna,ULL03
46,C55,2023/2024,autem,dxA47399,5.07,8.74,6.37,Universidad de Madrid,UDM01
47,C42,2020/2021,quo,ifV37382,9.56,8.93,7.65,Universidad de Barcelona,UDB02
48,C59,2019/2020,expedita,jqV70190,5.52,5.21,8.66,Universidad de La Laguna,ULL03
49,C96,2023/2024,necessitatibus,mWF22369,9.0,9.95,6.89,Universidad de Barcelona,UDB02
50,C32,2018/2019,laboriosam,tRu38206,5.18,8.57,7.49,Universidad de La Laguna,ULL03
51,C91,2022/2023,pariatur,dyp60694,8.53,5.13,6.39,Universidad de Madrid,UDM01
52,C79,2020/2021,temporibus,Lmu63293,5.03,8.69,6.11,Universidad de La Laguna,ULL03
53,C74,2023/2024,aperiam,JWm99416,6.82,6.22,9.66,Universidad de Madrid,UDM01
54,C68,2023/2024,laudantium,qvW46731,7.01,6.63,9.45,Universidad de Barcelona,UDB02
55,C37,2021/2022,tempore,Mci47866,6.68,7.85,7.17,Universidad de La Laguna,ULL03
56,C93,2017/2018,delectus,uCh20386,6.12,5.81,6.53,Universidad de Barcelona,UDB02
57,C02,2017/2018,iusto,UHm78351,7.08,8.39,8.54,Universidad de Barcelona,UDB02
58,C42,2017/2018,nisi,qqU16051,5.4,8.91,5.63,Universidad de Madrid,UDM01
59,C43,2021/2022,adipisci,Uzm96776,7.91,7.89,5.23,Universidad de Barcelona,UDB02
60,C04,2021/2022,atque,llo74959,8.87,8.79,5.76,Universidad de Barcelona,UDB02
61,C75,2018/2019,adipisci,zsT97823,7.66,6.22,8.05,Universidad de Barcelona,UDB02
62,C60,2017/2018,unde,xyC77005,8.23,6.83,6.42,Universidad de La Laguna,ULL03
63,C95,2018/2019,ducimus,mpv19671,9.78,8.79,7.54,Universidad de La Laguna,ULL03
64,C08,2022/2023,sit,vQV05214,9.64,7.57,8.18,Universidad de La Laguna,ULL03
65,C87,2023/2024,at,bVz28836,5.83,8.48,7.58,Universidad de Barcelona,UDB02
66,C75,2017/2018,ad,YOY72438,6.23,5.31,9.15,Universidad de La Laguna,ULL03
67,C97,2018/2019,sit,iYk08914,8.63,5.25,9.84,Universidad de Barcelona,UDB02
68,C77,2017/2018,quam,Fae88010,7.65,7.87,8.85,Universidad de Barcelona,UDB02
69,C09,2022/2023,corporis,aVU87722,7.81,8.68,6.12,Universidad de Barcelona,UDB02
70,C93,2017/2018,nesciunt,IZQ71620,8.59,9.7,7.82,Universidad de Barcelona,UDB02
71,C49,2017/2018,nemo,ObX77249,7.35,9.28,9.68,Universidad de Barcelona,UDB02
72,C49,2022/2023,adipisci,TMN55148,5.28,8.64,7.28,Universidad de Madrid,UDM01
73,C62,2022/2023,nisi,iad58786,5.45,7.29,8.32,Universidad de La Laguna,ULL03
74,C14,2019/2020,non,YOk12602,6.06,8.67,9.06,Universidad de La Laguna,ULL03
75,C41,2017/2018,suscipit,lwQ84686,8.61,9.31,6.13,Universidad de Barcelona,UDB02
76,C27,2020/2021,dolores,FRb13264,7.98,8.73,7.35,Universidad de Madrid,UDM01
77,C38,2017/2018,provident,thV16173,5.48,5.98,7.57,Universidad de La Laguna,ULL03
78,C33,2018/2019,natus,YCq48846,8.8,6.29,7.08,Universidad de Madrid,UDM01
79,C34,2020/2021,fugiat,SBc87405,5.02,6.5,6.27,Universidad de Barcelona,UDB02
80,C76,2022/2023,assumenda,EXW08601,6.41,7.44,9.79,Universidad de Madrid,UDM01
81,C31,2019/2020,neque,FBI46842,9.45,8.17,9.34,Universidad de Madrid,UDM01
82,C20,2017/2018,sed,PlM24156,9.17,5.58,7.37,Universidad de Madrid,UDM01
83,C39,2022/2023,alias,dNY75209,5.79,7.4,8.28,Universidad de Madrid,UDM01
84,C05,2023/2024,commodi,ylo00558,5.91,8.39,6.14,Universidad de Madrid,UDM01
85,C45,2020/2021,aspernatur,dbY38971,8.72,8.31,9.01,Universidad de Barcelona,UDB02
86,C77,2019/2020,distinctio,SDe38187,7.63,6.29,9.93,Universidad de Barcelona,UDB02
87,C45,2022/2023,ad,piQ91894,6.0,7.51,7.89,Universidad de Madrid,UDM01
88,C83,2018/2019,eum,Inv05156,6.31,5.23,8.08,Universidad de La Laguna,ULL03
89,C61,2021/2022,hic,TCD01934,5.16,8.83,5.9,Universidad de Madrid,UDM01
90,C16,2023/2024,nostrum,zYi16961,6.28,9.37,5.81,Universidad de Madrid,UDM01
91,C90,2017/2018,praesentium,PaN60089,6.63,8.59,9.33,Universidad de Madrid,UDM01
92,C97,2018/2019,error,WMA73381,9.42,9.61,6.71,Universidad de Barcelona,UDB02
93,C00,2018/2019,dignissimos,Pfr36932,9.26,7.77,7.28,Universidad de Madrid,UDM01
94,C30,2018/2019,omnis,EwJ78273,9.47,7.56,7.11,Universidad de La Laguna,ULL03
95,C39,2021/2022,laborum,ApD21047,9.44,9.4,9.52,Universidad de Madrid,UDM01
96,C79,2018/2019,dolores,sRn77099,9.46,6.94,7.66,Universidad de La Laguna,ULL03
97,C71,2022/2023,aperiam,Aec29237,9.23,9.25,8.07,Universidad de La Laguna,ULL03
98,C85,2019/2020,enim,dhe36880,8.85,8.73,9.15,Universidad de Madrid,UDM01
99,C78,2018/2019,voluptatibus,KfK53245,6.28,7.73,8.6,Universidad de La Laguna,ULL03
100,C96,2018/2019,voluptate,FNe35607,8.24,9.88,9.86,Universidad de Madrid,UDM01
101,C02,2022/2023,tenetur,siv68623,6.14,9.0,5.47,Universidad de Barcelona,UDB02
102,C65,2021/2022,praesentium,hWi20981,8.42,9.19,6.34,Universidad de La Laguna,ULL03
103,C06,2023/2024,est,cSk32555,5.01,6.95,8.17,Universidad de Madrid,UDM01
104,C62,2019/2020,facere,UdH24465,6.42,7.8,9.18,Universidad de Barcelona,UDB02
105,C67,2018/2019,earum,jXa96678,5.25,7.61,8.94,Universidad de La Laguna,ULL03
106,C38,2023/2024,consectetur,Flr89711,7.63,9.78,9.7,Universidad de Barcelona,UDB02
107,C46,2019/2020,ad,QRA20545,7.13,8.06,7.05,Universidad de La Laguna,ULL03
108,C16,2023/2024,excepturi,TjR85196,7.51,8.73,7.24,Universidad de Barcelona,UDB02
109,C15,2018/2019,quo,efd06707,6.34,7.62,7.86,Universidad de Madrid,UDM01
110,C15,2020/2021,in,sTQ44858,5.41,5.71,6.4,Universidad de La Laguna,ULL03
111,C86,2023/2024,excepturi,oRb10426,5.31,8.59,5.27,Universidad de La Laguna,ULL03
112,C46,2020/2021,maxime,wxS26730,7.89,5.3,9.86,Universidad de La Laguna,ULL03
113,C27,2019/2020,sit,OMp76613,8.58,5.32,8.46,Universidad de Madrid,UDM01
114,C33,2017/2018,totam,qtP27013,8.35,9.27,9.28,Universidad de Madrid,UDM01
115,C33,2022/2023,natus,nHI94936,5.52,5.47,8.17,Universidad de La Laguna,ULL03
116,C20,2019/2020,inventore,tdX04871,7.17,8.31,9.23,Universidad de Barcelona,UDB02
117,C92,2022/2023,voluptates,AOC72640,8.69,9.08,5.15,Universidad de Madrid,UDM01
118,C16,2019/2020,eligendi,nGx83093,6.33,6.88,7.11,Universidad de Barcelona,UDB02
119,C31,2019/2020,deserunt,nNF28797,7.19,8.99,9.14,Universidad de Madrid,UDM01
120,C42,2021/2022,veritatis,Lpt82450,7.02,6.64,8.91,Universidad de Madrid,UDM01
121,C61,2022/2023,dolorum,YNi68831,5.55,5.68,9.78,Universidad de Madrid,UDM01
122,C40,2021/2022,possimus,qre00866,7.01,6.13,6.1,Universidad de Madrid,UDM01
123,C98,2022/2023,quia,HAN06905,6.41,8.75,6.5,Universidad de La Laguna,ULL03
124,C52,2019/2020,ducimus,VRK55663,9.8,6.99,7.61,Universidad de Barcelona,UDB02
125,C19,2023/2024,temporibus,LDi15126,5.69,8.91,8.2,Universidad de Barcelona,UDB02
126,C84,2021/2022,aliquid,Ctx63990,8.97,6.52,8.19,Universidad de Barcelona,UDB02
127,C60,2019/2020,eligendi,mDe20104,6.52,9.67,5.54,Universidad de La Laguna,ULL03
128,C38,2020/2021,doloribus,HAo27541,5.75,7.9,8.88,Universidad de Barcelona,UDB02
129,C58,2023/2024,veritatis,mXo62587,9.73,7.86,9.31,Universidad de Madrid,UDM01
130,C09,2023/2024,numquam,amU26292,6.72,6.81,7.32,Universidad de La Laguna,ULL03
131,C22,2019/2020,quod,sjr16897,7.78,7.44,8.07,Universidad de Madrid,UDM01
132,C57,2018/2019,at,vce62559,8.03,5.1,7.35,Universidad de Barcelona,UDB02
133,C39,2023/2024,veniam,hom12126,5.65,6.18,9.55,Universidad de Barcelona,UDB02
134,C68,2022/2023,nesciunt,lxO83759,6.25,5.09,7.7,Universidad de Barcelona,UDB02
135,C46,2019/2020,quo,Wjt99382,6.97,8.35,9.93,Universidad de La Laguna,ULL03
136,C00,2022/2023,ullam,iMr64222,5.52,8.79,7.68,Universidad de La Laguna,ULL03
137,C39,2023/2024,dolor,pdK13603,5.63,5.79,6.38,Universidad de La Laguna,ULL03
138,C61,2018/2019,libero,xgj87697,9.22,6.13,5.78,Universidad de La Laguna,ULL03
139,C57,2020/2021,sunt,iUO76159,6.67,7.1,9.52,Universidad de Madrid,UDM01
140,C05,2019/2020,ea,KFR78018,7.2,6.3,7.87,Universidad de Madrid,UDM01
141,C27,2018/2019,dolorem,uGv83545,6.69,6.46,9.62,Universidad de Madrid,UDM01
142,C54,2022/2023,odio,mQg51302,9.57,5.28,6.51,Universidad de La Laguna,ULL03
143,C59,2023/2024,nam,LYd48213,9.77,5.06,8.48,Universidad de La Laguna,ULL03
144,C45,2018/2019,iste,diA03768,9.24,5.24,8.59,Universidad de Barcelona,UDB02
145,C10,2017/2018,maxime,kej42080,5.52,7.48,7.01,Universidad de La Laguna,ULL03
146,C33,2020/2021,quidem,YNn22700,5.47,5.93,7.46,Universidad de Barcelona,UDB02
147,C51,2017/2018,provident,xga67894,5.33,7.36,7.28,Universidad de Barcelona,UDB02
148,C32,2019/2020,quam,oox43633,7.27,6.34,5.66,Universidad de Barcelona,UDB02
149,C65,2017/2018,nihil,glO71863,5.69,9.89,6.36,Universidad de La Laguna,ULL03
150,C39,2021/2022,atque,tQM57258,6.23,9.44,8.94,Universidad de Barcelona,UDB02
151,C63,2023/2024,laborum,Mot71781,7.38,6.11,7.95,Universidad de Barcelona,UDB02
152,C64,2022/2023,odit,CZq11690,9.56,7.37,9.5,Universidad de Barcelona,UDB02
153,C53,2023/2024,dignissimos,tzK11739,8.87,9.46,6.68,Universidad de Madrid,UDM01
154,C65,2020/2021,reiciendis,Spw15554,8.69,7.55,5.15,Universidad de Barcelona,UDB02
155,C99,2019/2020,accusamus,bBG60770,5.89,7.56,8.51,Universidad de Madrid,UDM01
156,C79,2023/2024,quaerat,LQY22696,5.97,6.43,7.76,Universidad de Barcelona,UDB02
157,C46,2023/2024,impedit,PyP61496,9.51,8.44,9.21,Universidad de Madrid,UDM01
158,C11,2020/2021,fugiat,ZiT21319,9.85,7.24,5.15,Universidad de Barcelona,UDB02
159,C90,2019/2020,earum,PuI15113,7.87,9.28,8.09,Universidad de Barcelona,UDB02
160,C04,2017/2018,sunt,GZf58000,5.27,9.95,5.12,Universidad de Madrid,UDM01
161,C11,2020/2021,porro,QnC63208,6.6,6.22,6.67,Universidad de Barcelona,UDB02
162,C80,2020/2021,vero,TsW12083,8.81,7.87,7.93,Universidad de La Laguna,ULL03
163,C93,2019/2020,aut,rTF06638,7.77,6.13,5.38,Universidad de Madrid,UDM01
164,C33,2020/2021,earum,efJ93328,7.41,7.88,8.2,Universidad de Madrid,UDM01
165,C68,2023/2024,praesentium,cgn67689,9.02,7.67,5.2,Universidad de La Laguna,ULL03
166,C36,2021/2022,pariatur,YPs02947,9.23,7.31,8.08,Universidad de La Laguna,ULL03
167,C95,2021/2022,quam,NjP74546,8.89,9.68,5.34,Universidad de Barcelona,UDB02
168,C39,2020/2021,ipsum,CzF51943,8.39,6.37,5.43,Universidad de Barcelona,UDB02
169,C75,2021/2022,minima,SZv06828,7.4,5.04,9.56,Universidad de La Laguna,ULL03
170,C86,2022/2023,omnis,AwK93355,9.8,7.31,6.13,Universidad de Barcelona,UDB02
171,C18,2018/2019,dolores,Hws54578,6.09,7.59,6.93,Universidad de La Laguna,ULL03
172,C88,2022/2023,odio,YDf47017,7.06,6.17,5.65,Universidad de Barcelona,UDB02
173,C13,2023/2024,earum,HaF41344,8.84,7.32,5.43,Universidad de La Laguna,ULL03
174,C49,2018/2019,deleniti,oYm55015,9.75,7.37,5.03,Universidad de La Laguna,ULL03
175,C13,2021/2022,exercitationem,FHs32070,5.67,5.22,5.92,Universidad de Madrid,UDM01
176,C33,2021/2022,error,fet29469,5.01,5.02,6.7,Universidad de Barcelona,UDB02
177,C09,2021/2022,itaque,qxR55005,5.45,9.85,5.87,Universidad de Barcelona,UDB02
178,C48,2020/2021,atque,drr77209,9.8,6.46,9.18,Universidad de Barcelona,UDB02
179,C54,2023/2024,est,SuL72462,9.48,5.37,7.06,Universidad de Barcelona,UDB02
180,C43,2022/2023,adipisci,XUi12852,9.38,8.46,6.13,Universidad de Barcelona,UDB02
181,C28,2021/2022,sunt,NLJ89076,5.32,7.87,5.42,Universidad de La Laguna,ULL03
182,C20,2017/2018,sit,wyT62189,8.69,6.94,7.68,Universidad de Madrid,UDM01
183,C68,2023/2024,error,vNU90706,6.77,8.22,5.1,Universidad de Barcelona,UDB02
184,C68,2021/2022,ipsa,bHp51418,8.35,9.23,5.45,Universidad de La Laguna,ULL03
185,C38,2022/2023,debitis,riY98147,8.92,9.87,6.55,Universidad de La Laguna,ULL03
186,C38,2022/2023,doloribus,uKg12830,9.46,8.15,9.33,Universidad de Madrid,UDM01
187,C74,2023/2024,accusantium,RwZ18172,5.76,7.51,8.5,Universidad de Madrid,UDM01
188,C51,2017/2018,recusandae,LUH23465,9.68,9.05,8.67,Universidad de Madrid,UDM01
189,C93,2021/2022,beatae,BuW61390,8.91,9.24,9.86,Universidad de Madrid,UDM01
190,C55,2021/2022,similique,nAB33838,8.14,8.18,9.02,Universidad de Barcelona,UDB02
191,C48,2018/2019,recusandae,Zoi27397,5.47,6.83,6.39,Universidad de Barcelona,UDB02
192,C71,2018/2019,cum,CKX41458,9.52,6.21,5.64,Universidad de Barcelona,UDB02
193,C41,2020/2021,ipsa,tCp88109,5.5,8.7,6.72,Universidad de La Laguna,ULL03
194,C52,2017/2018,animi,bWG78986,8.83,7.78,5.47,Universidad de Barcelona,UDB02
195,C05,2017/2018,ab,VHz60816,9.96,9.63,5.74,Universidad de Madrid,UDM01
196,C98,2019/2020,repellendus,rkU60503,9.34,5.31,9.61,Universidad de La Laguna,ULL03
197,C71,2019/2020,distinctio,GyF71992,5.17,7.48,8.33,Universidad de La Laguna,ULL03
198,C94,2017/2018,fuga,NYn55448,7.3,6.89,9.34,Universidad de La Laguna,ULL03
199,C86,2018/2019,sit,PxH65728,6.95,7.89,8.21,Universidad de Madrid,UDM01
200,C67,2018/2019,ex,trl01446,6.69,5.86,7.4,Universidad de Madrid,UDM01
201,C95,2023/2024,perferendis,LwS54901,7.72,5.64,9.29,Universidad de La Laguna,ULL03
202,C83,2022/2023,quo,wHU37260,9.38,8.71,9.07,Universidad de La Laguna,ULL03
203,C11,2018/2019,facere,aGu64094,5.6,7.97,7.76,Universidad de La Laguna,ULL03
204,C29,2023/2024,officia,qgr76056,5.78,8.49,7.55,Universidad de Madrid,UDM01
205,C65,2022/2023,tempora,smc53914,8.62,6.58,5.64,Universidad de La Laguna,ULL03
206,C17,2018/2019,eum,JHX75005,9.25,7.5,6.4,Universidad de Barcelona,UDB02
207,C87,2021/2022,fugiat,Yll02120,6.46,6.11,7.18,Universidad de La Laguna,ULL03
208,C50,2022/2023,reprehenderit,aqP09198,5.3,6.66,8.07,Universidad de Barcelona,UDB02
209,C22,2019/2020,molestias,HBB39136,6.03,8.09,5.76,Universidad de Barcelona,UDB02
210,C89,2022/2023,expedita,kfg80524,9.25,7.66,5.88,Universidad de Barcelona,UDB02
211,C19,2021/2022,maxime,NWB59388,7.62,6.87,5.86,Universidad de Barcelona,UDB02
212,C50,2019/2020,repudiandae,Pmk32286,7.87,6.31,5.05,Universidad de Madrid,UDM01
213,C23,2022/2023,sequi,Rip42387,6.75,5.02,9.04,Universidad de Barcelona,UDB02
214,C60,2017/2018,quidem,dHT31703,8.38,5.07,5.69,Universidad de Barcelona,UDB02
215,C77,2021/2022,expedita,aMF75641,7.52,6.46,7.09,Universidad de Madrid,UDM01
216,C46,2022/2023,fuga,vHX44699,8.52,5.58,8.58,Universidad de Barcelona,UDB02
217,C49,2022/2023,veritatis,zLE83133,7.31,5.19,7.69,Universidad de Madrid,UDM01
218,C19,2018/2019,quia,zhS17690,6.64,5.69,6.08,Universidad de Barcelona,UDB02
219,C39,2018/2019,mollitia,LNX64051,9.01,8.89,5.29,Universidad de Barcelona,UDB02
220,C86,2023/2024,reiciendis,LEm70805,8.17,5.66,7.22,Universidad de Madrid,UDM01
221,C55,2017/2018,voluptas,jRB37814,9.94,9.06,5.71,Universidad de La Laguna,ULL03
222,C55,2017/2018,officiis,mjp09352,5.3,7.57,5.62,Universidad de Madrid,UDM01
223,C88,2023/2024,provident,gOq25734,5.69,8.77,8.48,Universidad de Madrid,UDM01
224,C70,2017/2018,tempora,fac57760,5.45,8.92,9.44,Universidad de La Laguna,ULL03
225,C56,2018/2019,vitae,FRW42517,7.2,5.96,7.62,Universidad de Madrid,UDM01
226,C35,2017/2018,minus,uuo40384,6.06,9.08,8.49,Universidad de La Laguna,ULL03
227,C27,2023/2024,ducimus,ZaO39100,5.2,9.35,6.25,Universidad de Barcelona,UDB02
228,C41,2018/2019,adipisci,TKO38681,6.51,7.46,8.67,Universidad de La Laguna,ULL03
229,C38,2020/2021,harum,EUo00988,9.23,8.18,7.29,Universidad de La Laguna,ULL03
230,C18,2017/2018,illum,TdB61624,9.99,7.94,7.91,Universidad de Barcelona,UDB02
231,C32,2018/2019,ex,xrB82503,7.97,6.24,7.57,Universidad de Madrid,UDM01
232,C84,2022/2023,molestiae,vAM93481,6.61,6.97,9.78,Universidad de Madrid,UDM01
233,C77,2021/2022,quos,puZ20065,8.75,7.1,5.38,Universidad de Barcelona,UDB02
234,C53,2018/2019,eos,Xrq91171,7.88,6.39,5.72,Universidad de Madrid,UDM01
235,C86,2022/2023,saepe,lNt98512,5.5,8.9,5.5,Universidad de La Laguna,ULL03
236,C78,2018/2019,cum,Gdr38139,5.72,6.54,8.64,Universidad de La Laguna,ULL03
237,C88,2021/2022,beatae,svN63588,9.53,6.28,8.87,Universidad de Madrid,UDM01
238,C27,2022/2023,hic,NXc98043,7.96,7.63,7.09,Universidad de Madrid,UDM01
239,C99,2019/2020,tempora,Kzy07895,8.4,8.55,7.87,Universidad de La Laguna,ULL03
240,C43,2023/2024,vitae,rVQ05304,6.89,6.06,6.23,Universidad de Barcelona,UDB02
241,C56,2017/2018,magni,hnT12839,7.01,6.23,5.51,Universidad de Madrid,UDM01
242,C56,2020/2021,at,lhP76652,6.41,7.8,8.39,Universidad de Barcelona,UDB02
243,C16,2019/2020,vero,wAE62196,7.3,6.36,7.13,Universidad de Barcelona,UDB02
244,C00,2018/2019,facilis,cHV31615,7.76,5.76,5.55,Universidad de La Laguna,ULL03
245,C51,2020/2021,eum,wVy61306,5.03,9.64,5.16,Universidad de Madrid,UDM01
246,C55,2022/2023,ullam,Nws38632,5.06,8.6,5.85,Universidad de La Laguna,ULL03
247,C37,2023/2024,minima,zQe63621,9.03,6.04,5.2,Universidad de Madrid,UDM01
248,C45,2019/2020,repudiandae,eEN03875,6.64,6.64,7.35,Universidad de La Laguna,ULL03
249,C41,2021/2022,sapiente,Uux15027,5.35,5.95,6.58,Universidad de Barcelona,UDB02
250,C58,2019/2020,perspiciatis,TnU14944,9.27,8.43,9.95,Universidad de La Laguna,ULL03
251,C79,2018/2019,incidunt,dwh83876,5.39,5.36,5.33,Universidad de La Laguna,ULL03
252,C61,2018/2019,est,GvA89342,9.13,6.04,5.07,Universidad de Madrid,UDM01
253,C49,2017/2018,earum,ufh85457,5.44,5.3,5.74,Universidad de Barcelona,UDB02
254,C57,2020/2021,doloremque,HTw99701,9.4,6.88,5.42,Universidad de Barcelona,UDB02
255,C40,2023/2024,tenetur,BkC80553,7.33,5.03,5.76,Universidad de Madrid,UDM01
256,C21,2021/2022,dolorum,syL91268,7.89,7.91,9.66,Universidad de La Laguna,ULL03
257,C32,2019/2020,repellendus,TNs90341,9.61,8.43,8.03,Universidad de La Laguna,ULL03
258,C51,2019/2020,ex,BhP77917,7.52,9.54,8.9,Universidad de Barcelona,UDB02
259,C93,2017/2018,dolore,IQv22111,8.73,9.94,7.19,Universidad de Barcelona,UDB02
260,C69,2022/2023,reprehenderit,ZBZ37188,5.62,7.96,9.83,Universidad de Barcelona,UDB02
261,C80,2023/2024,est,NQd06956,8.42,7.12,6.36,Universidad de Barcelona,UDB02
262,C54,2017/2018,repellat,RPC67526,5.82,9.26,8.74,Universidad de Barcelona,UDB02
263,C56,2022/2023,ullam,rVM36120,6.77,6.31,5.77,Universidad de Barcelona,UDB02
264,C04,2023/2024,iusto,bZP79319,7.72,8.46,7.74,Universidad de Barcelona,UDB02
265,C89,2023/2024,quod,YMF89097,6.03,8.04,5.6,Universidad de Barcelona,UDB02
266,C91,2021/2022,qui,bWL05521,6.36,7.45,5.43,Universidad de Barcelona,UDB02
267,C22,2019/2020,accusamus,WQg80311,5.44,5.17,5.25,Universidad de Barcelona,UDB02
268,C50,2023/2024,suscipit,Txi57780,5.68,8.93,6.65,Universidad de Madrid,UDM01
269,C23,2018/2019,natus,LgU47415,7.5,5.57,7.04,Universidad de La Laguna,ULL03
270,C74,2017/2018,eius,yEN79840,7.7,8.46,9.01,Universidad de La Laguna,ULL03
271,C71,2021/2022,quas,beC39542,7.2,9.51,8.29,Universidad de Madrid,UDM01
272,C21,2017/2018,laudantium,sdd34482,8.84,9.09,8.36,Universidad de Madrid,UDM01
273,C19,2023/2024,doloremque,YgD23492,9.76,6.08,8.05,Universidad de Madrid,UDM01
274,C39,2022/2023,architecto,PKw61629,5.7,6.89,6.69,Universidad de Madrid,UDM01
275,C78,2022/2023,labore,XrB10950,5.72,9.95,6.68,Universidad de Barcelona,UDB02
276,C94,2021/2022,maxime,Nlb34899,9.23,7.5,6.03,Universidad de Barcelona,UDB02
277,C82,2017/2018,temporibus,qHU64320,5.39,6.13,6.88,Universidad de Barcelona,UDB02
278,C85,2022/2023,beatae,uYt61412,5.85,7.25,9.77,Universidad de La Laguna,ULL03
279,C19,2020/2021,sed,YzB64255,5.13,8.94,8.65,Universidad de Madrid,UDM01
280,C95,2018/2019,nihil,ZGW38407,8.18,7.07,7.57,Universidad de Madrid,UDM01
281,C42,2023/2024,provident,LBa17866,6.1,5.79,7.96,Universidad de La Laguna,ULL03
282,C58,2018/2019,enim,hRK03313,6.95,7.36,5.78,Universidad de Madrid,UDM01
283,C25,2017/2018,nostrum,IXk24283,8.01,8.27,5.01,Universidad de Madrid,UDM01
284,C73,2017/2018,cum,PFs93409,7.49,8.34,9.56,Universidad de Madrid,UDM01
285,C01,2018/2019,quam,yCB14100,5.65,9.51,7.57,Universidad de La Laguna,ULL03
