id,anio_nac,universidad,cod_universidad,abandona
Pep48985,1982,Universidad de La Laguna,ULL03,si
xiK29535,1982,Universidad de La Laguna,ULL03,si
TUj75109,1993,Universidad de Madrid,UDM01,si
rzx38809,1984,Universidad de La Laguna,ULL03,si
dxA47399,1994,Universidad de Madrid,UDM01,si
ifV37382,1994,Universidad de Barcelona,UDB02,si
jqV70190,1989,Universidad de La Laguna,ULL03,si
mWF22369,1984,Universidad de La Laguna,ULL03,si
tRu38206,1998,Universidad de La Laguna,ULL03,no
dyp60694,1980,Universidad de Madrid,UDM01,no
Lmu63293,1997,Universidad de La Laguna,ULL03,si
JWm99416,1986,Universidad de La Laguna,ULL03,si
qvW46731,1995,Universidad de Barcelona,UDB02,si
Mci47866,1981,Universidad de Madrid,UDM01,si
uCh20386,1999,Universidad de Barcelona,UDB02,si
UHm78351,1994,Universidad de La Laguna,ULL03,si
qqU16051,1992,Universidad de La Laguna,ULL03,no
Uzm96776,1987,Universidad de Madrid,UDM01,si
llo74959,1990,Universidad de La Laguna,ULL03,no
zsT97823,1984,Universidad de Madrid,UDM01,si
xyC77005,1986,Universidad de Barcelona,UDB02,no
mpv19671,1984,Universidad de La Laguna,ULL03,no
vQV05214,1998,Universidad de Barcelona,UDB02,no
bVz28836,1988,Universidad de Barcelona,UDB02,no
YOY72438,1999,Universidad de Barcelona,UDB02,si
iYk08914,1987,Universidad de Barcelona,UDB02,si
Fae88010,1999,Universidad de La Laguna,ULL03,si
aVU87722,1999,Universidad de La Laguna,ULL03,si
IZQ71620,1991,Universidad de Madrid,UDM01,si
ObX77249,1988,Universidad de Barcelona,UDB02,no
TMN55148,1983,Universidad de La Laguna,ULL03,no
iad58786,1994,Universidad de Madrid,UDM01,si
YOk12602,1997,Universidad de La Laguna,ULL03,no
lwQ84686,1995,Universidad de Barcelona,UDB02,si
FRb13264,1980,Universidad de La Laguna,ULL03,no
thV16173,1991,Universidad de Barcelona,UDB02,si
YCq48846,1985,Universidad de Madrid,UDM01,si
SBc87405,1992,Universidad de La Laguna,ULL03,si
EXW08601,1985,Universidad de Madrid,UDM01,si
FBI46842,1982,Universidad de La Laguna,ULL03,no
PlM24156,1994,Universidad de Madrid,UDM01,si
dNY75209,1998,Universidad de Barcelona,UDB02,si
ylo00558,1988,Universidad de La Laguna,ULL03,no
dbY38971,1982,Universidad de Barcelona,UDB02,no
SDe38187,1997,Universidad de Barcelona,UDB02,no
piQ91894,1999,Universidad de Madrid,UDM01,no
Inv05156,1999,Universidad de Madrid,UDM01,no
TCD01934,1982,Universidad de Barcelona,UDB02,no
zYi16961,1982,Universidad de La Laguna,ULL03,si
PaN60089,1983,Universidad de Madrid,UDM01,si
WMA73381,1999,Universidad de La Laguna,ULL03,si
Pfr36932,1992,Universidad de Madrid,UDM01,si
EwJ78273,1990,Universidad de Madrid,UDM01,si
ApD21047,1996,Universidad de Madrid,UDM01,no
sRn77099,1992,Universidad de La Laguna,ULL03,si
Aec29237,1989,Universidad de Madrid,UDM01,si
dhe36880,1996,Universidad de Madrid,UDM01,no
KfK53245,1982,Universidad de Madrid,UDM01,si
FNe35607,1994,Universidad de Barcelona,UDB02,no
siv68623,1983,Universidad de Madrid,UDM01,no
hWi20981,1983,Universidad de La Laguna,ULL03,si
cSk32555,1998,Universidad de La Laguna,ULL03,no
UdH24465,1999,Universidad de Barcelona,UDB02,no
jXa96678,1992,Universidad de Barcelona,UDB02,no
Flr89711,1997,Universidad de Madrid,UDM01,no
QRA20545,1988,Universidad de Madrid,UDM01,si
TjR85196,1998,Universidad de La Laguna,ULL03,si
efd06707,1984,Universidad de La Laguna,ULL03,si
sTQ44858,1981,Universidad de Madrid,UDM01,si
oRb10426,1997,Universidad de La Laguna,ULL03,si
wxS26730,1986,Universidad de La Laguna,ULL03,no
OMp76613,1983,Universidad de Madrid,UDM01,si
qtP27013,1984,Universidad de Barcelona,UDB02,no
nHI94936,1999,Universidad de La Laguna,ULL03,no
tdX04871,1996,Universidad de Barcelona,UDB02,si
AOC72640,1995,Universidad de Barcelona,UDB02,si
nGx83093,1999,Universidad de La Laguna,ULL03,si
nNF28797,1987,Universidad de Madrid,UDM01,no
Lpt82450,1987,Universidad de Barcelona,UDB02,si
YNi68831,1994,Universidad de Madrid,UDM01,si
qre00866,1993,Universidad de Madrid,UDM01,si
HAN06905,1987,Universidad de La Laguna,ULL03,no
VRK55663,1998,Universidad de Barcelona,UDB02,no
LDi15126,1996,Universidad de Madrid,UDM01,no
Ctx63990,1982,Universidad de Madrid,UDM01,no
mDe20104,1983,Universidad de La Laguna,ULL03,no
HAo27541,1983,Universidad de Madrid,UDM01,no
mXo62587,1991,Universidad de La Laguna,ULL03,si
amU26292,1988,Universidad de Madrid,UDM01,si
sjr16897,1981,Universidad de Madrid,UDM01,no
vce62559,1989,Universidad de Barcelona,UDB02,no
hom12126,1995,Universidad de Barcelona,UDB02,si
lxO83759,1981,Universidad de Barcelona,UDB02,no
Wjt99382,1983,Universidad de Madrid,UDM01,si
iMr64222,1988,Universidad de Madrid,UDM01,si
pdK13603,1997,Universidad de La Laguna,ULL03,no
xgj87697,1998,Universidad de Barcelona,UDB02,si
iUO76159,1991,Universidad de La Laguna,ULL03,si
KFR78018,1992,Universidad de La Laguna,ULL03,si
uGv83545,1986,Universidad de Madrid,UDM01,si
mQg51302,1997,Universidad de Barcelona,UDB02,no
LYd48213,1992,Universidad de Madrid,UDM01,si
diA03768,1991,Universidad de Barcelona,UDB02,no
kej42080,1993,Universidad de La Laguna,ULL03,si
YNn22700,1980,Universidad de La Laguna,ULL03,si
xga67894,1984,Universidad de Barcelona,UDB02,si
oox43633,1984,Universidad de Barcelona,UDB02,no
glO71863,1999,Universidad de Barcelona,UDB02,no
tQM57258,1993,Universidad de Madrid,UDM01,no
Mot71781,1994,Universidad de La Laguna,ULL03,no
CZq11690,1998,Universidad de Barcelona,UDB02,si
tzK11739,1996,Universidad de Barcelona,UDB02,no
Spw15554,1986,Universidad de La Laguna,ULL03,no
bBG60770,1983,Universidad de Barcelona,UDB02,si
LQY22696,1997,Universidad de Barcelona,UDB02,si
PyP61496,1991,Universidad de La Laguna,ULL03,si
ZiT21319,1999,Universidad de La Laguna,ULL03,si
PuI15113,1992,Universidad de La Laguna,ULL03,si
GZf58000,1989,Universidad de Madrid,UDM01,no
QnC63208,1988,Universidad de La Laguna,ULL03,no
TsW12083,1987,Universidad de Barcelona,UDB02,si
rTF06638,1996,Universidad de La Laguna,ULL03,si
efJ93328,1985,Universidad de La Laguna,ULL03,no
cgn67689,1990,Universidad de La Laguna,ULL03,no
YPs02947,1986,Universidad de Madrid,UDM01,si
NjP74546,1995,Universidad de La Laguna,ULL03,no
CzF51943,1988,Universidad de Madrid,UDM01,si
SZv06828,1982,Universidad de Barcelona,UDB02,si
AwK93355,1999,Universidad de Madrid,UDM01,no
Hws54578,1992,Universidad de Madrid,UDM01,no
YDf47017,1998,Universidad de Barcelona,UDB02,si
HaF41344,1989,Universidad de Barcelona,UDB02,si
oYm55015,1996,Universidad de Madrid,UDM01,si
FHs32070,1994,Universidad de Madrid,UDM01,no
fet29469,1992,Universidad de La Laguna,ULL03,no
qxR55005,1985,Universidad de Madrid,UDM01,no
drr77209,1988,Universidad de La Laguna,ULL03,si
SuL72462,1983,Universidad de Madrid,UDM01,si
XUi12852,1981,Universidad de La Laguna,ULL03,no
NLJ89076,1997,Universidad de Madrid,UDM01,no
wyT62189,1986,Universidad de La Laguna,ULL03,no
vNU90706,1990,Universidad de La Laguna,ULL03,si
bHp51418,1995,Universidad de Madrid,UDM01,si
riY98147,1998,Universidad de Madrid,UDM01,si
uKg12830,1980,Universidad de Madrid,UDM01,si
RwZ18172,1986,Universidad de La Laguna,ULL03,si
LUH23465,1982,Universidad de Madrid,UDM01,no
BuW61390,1981,Universidad de La Laguna,ULL03,no
nAB33838,1997,Universidad de Barcelona,UDB02,no
Zoi27397,1989,Universidad de Madrid,UDM01,no
CKX41458,1985,Universidad de Madrid,UDM01,no
tCp88109,1991,Universidad de Madrid,UDM01,no
bWG78986,1996,Universidad de Barcelona,UDB02,si
VHz60816,1980,Universidad de La Laguna,ULL03,si
rkU60503,1995,Universidad de Barcelona,UDB02,no
GyF71992,1994,Universidad de Madrid,UDM01,no
NYn55448,1994,Universidad de La Laguna,ULL03,si
PxH65728,1991,Universidad de Barcelona,UDB02,no
trl01446,1993,Universidad de La Laguna,ULL03,no
LwS54901,1984,Universidad de Barcelona,UDB02,no
wHU37260,1984,Universidad de Barcelona,UDB02,si
aGu64094,1995,Universidad de Barcelona,UDB02,no
qgr76056,1997,Universidad de La Laguna,ULL03,no
smc53914,1988,Universidad de Madrid,UDM01,si
JHX75005,1983,Universidad de La Laguna,ULL03,no
Yll02120,1988,Universidad de Madrid,UDM01,si
aqP09198,1981,Universidad de La Laguna,ULL03,no
HBB39136,1994,Universidad de Madrid,UDM01,no
kfg80524,1992,Universidad de Madrid,UDM01,si
NWB59388,1988,Universidad de La Laguna,ULL03,no
Pmk32286,1981,Universidad de La Laguna,ULL03,no
Rip42387,1997,Universidad de Madrid,UDM01,si
dHT31703,1995,Universidad de Barcelona,UDB02,no
aMF75641,1990,Universidad de La Laguna,ULL03,si
vHX44699,1996,Universidad de Madrid,UDM01,si
zLE83133,1992,Universidad de Madrid,UDM01,no
zhS17690,1993,Universidad de La Laguna,ULL03,si
LNX64051,1981,Universidad de Madrid,UDM01,si
LEm70805,1983,Universidad de La Laguna,ULL03,si
jRB37814,1985,Universidad de La Laguna,ULL03,si
mjp09352,1981,Universidad de Madrid,UDM01,no
gOq25734,1997,Universidad de Barcelona,UDB02,si
fac57760,1983,Universidad de La Laguna,ULL03,si
FRW42517,1997,Universidad de La Laguna,ULL03,si
uuo40384,1982,Universidad de Barcelona,UDB02,no
ZaO39100,1982,Universidad de Barcelona,UDB02,si
TKO38681,1985,Universidad de Barcelona,UDB02,no
EUo00988,1998,Universidad de Madrid,UDM01,no
TdB61624,1990,Universidad de Madrid,UDM01,si
xrB82503,1996,Universidad de La Laguna,ULL03,si
vAM93481,1984,Universidad de La Laguna,ULL03,no
puZ20065,1984,Universidad de La Laguna,ULL03,si
Xrq91171,1997,Universidad de Barcelona,UDB02,si
lNt98512,1982,Universidad de Madrid,UDM01,no
Gdr38139,1995,Universidad de La Laguna,ULL03,si
svN63588,1996,Universidad de La Laguna,ULL03,no
NXc98043,1981,Universidad de La Laguna,ULL03,no
Kzy07895,1989,Universidad de Barcelona,UDB02,no
rVQ05304,1988,Universidad de Barcelona,UDB02,si
hnT12839,1980,Universidad de Barcelona,UDB02,si
lhP76652,1987,Universidad de La Laguna,ULL03,no
wAE62196,1995,Universidad de Barcelona,UDB02,no
cHV31615,1997,Universidad de Barcelona,UDB02,si
wVy61306,1998,Universidad de Barcelona,UDB02,si
Nws38632,1995,Universidad de La Laguna,ULL03,si
zQe63621,1990,Universidad de Barcelona,UDB02,si
eEN03875,1995,Universidad de Barcelona,UDB02,si
Uux15027,1999,Universidad de Madrid,UDM01,no
TnU14944,1995,Universidad de La Laguna,ULL03,si
dwh83876,1994,Universidad de Barcelona,UDB02,no
GvA89342,1983,Universidad de Barcelona,UDB02,si
ufh85457,1991,Universidad de Madrid,UDM01,si
HTw99701,1997,Universidad de Madrid,UDM01,no
BkC80553,1991,Universidad de La Laguna,ULL03,no
syL91268,1996,Universidad de Madrid,UDM01,si
TNs90341,1982,Universidad de La Laguna,ULL03,no
BhP77917,1992,Universidad de Madrid,UDM01,no
IQv22111,1994,Universidad de Barcelona,UDB02,si
ZBZ37188,1980,Universidad de La Laguna,ULL03,no
NQd06956,1986,Universidad de La Laguna,ULL03,si
RPC67526,1989,Universidad de Barcelona,UDB02,si
rVM36120,1992,Universidad de Madrid,UDM01,no
bZP79319,1982,Universidad de Barcelona,UDB02,si
YMF89097,1996,Universidad de La Laguna,ULL03,si
bWL05521,1980,Universidad de Barcelona,UDB02,no
WQg80311,1998,Universidad de Madrid,UDM01,si
Txi57780,1988,Universidad de Madrid,UDM01,si
LgU47415,1981,Universidad de Barcelona,UDB02,no
yEN79840,1985,Universidad de La Laguna,ULL03,si
beC39542,1987,Universidad de Barcelona,UDB02,si
sdd34482,1994,Universidad de Barcelona,UDB02,no
YgD23492,1985,Universidad de Barcelona,UDB02,no
PKw61629,1992,Universidad de La Laguna,ULL03,no
XrB10950,1981,Universidad de La Laguna,ULL03,no
Nlb34899,1995,Universidad de La Laguna,ULL03,si
qHU64320,1984,Universidad de Barcelona,UDB02,si
uYt61412,1989,Universidad de Madrid,UDM01,no
YzB64255,1982,Universidad de Barcelona,UDB02,no
ZGW38407,1990,Universidad de Madrid,UDM01,si
LBa17866,1986,Universidad de Barcelona,UDB02,no
hRK03313,1992,Universidad de Madrid,UDM01,si
IXk24283,1990,Universidad de Madrid,UDM01,si
PFs93409,1984,Universidad de La Laguna,ULL03,si
yCB14100,1997,Universidad de La Laguna,ULL03,no
XnM76258,1991,Universidad de La Laguna,ULL03,si
dqZ35217,1980,Universidad de Barcelona,UDB02,no
czP89888,1986,Universidad de Barcelona,UDB02,si
NbF79069,1990,Universidad de Madrid,UDM01,si
QbM11960,1983,Universidad de Madrid,UDM01,no
Eie53539,1990,Universidad de Barcelona,UDB02,no
ZNL51480,1997,Universidad de Barcelona,UDB02,no
MEV10517,1980,Universidad de Barcelona,UDB02,si
Spy70918,1981,Universidad de Madrid,UDM01,si
Gpe59856,1990,Universidad de Madrid,UDM01,si
GQQ64709,1996,Universidad de La Laguna,ULL03,no
JbK69743,1998,Universidad de Madrid,UDM01,si
Aaq50864,1982,Universidad de Madrid,UDM01,si
bJq70017,1989,Universidad de Barcelona,UDB02,no
TCE92205,1982,Universidad de Barcelona,UDB02,no
xZm55456,1992,Universidad de Madrid,UDM01,no
uuk66864,1995,Universidad de Barcelona,UDB02,no
lGc27711,1987,Universidad de Barcelona,UDB02,no
Dpe96881,1990,Universidad de Madrid,UDM01,si
bPI82542,1984,Universidad de Barcelona,UDB02,si
CtR16129,1999,Universidad de Madrid,UDM01,no
LZy28837,1997,Universidad de Madrid,UDM01,no
NEF11846,1982,Universidad de Madrid,UDM01,si
NCe97570,1985,Universidad de Barcelona,UDB02,no
rrj11582,1996,Universidad de Barcelona,UDB02,no
NEU90797,1984,Universidad de La Laguna,ULL03,no
kZv65152,1983,Universidad de La Laguna,ULL03,si
wDX20523,1982,Universidad de Madrid,UDM01,no
gkg62699,1988,Universidad de Madrid,UDM01,no
Gbz68991,1982,Universidad de Madrid,UDM01,no
PIu89859,1995,Universidad de Barcelona,UDB02,si
AcN87251,1980,Universidad de Barcelona,UDB02,si
OKE99736,1999,Universidad de Madrid,UDM01,no
HMK58968,1997,Universidad de Madrid,UDM01,si
AJn69162,1990,Universidad de Madrid,UDM01,no
PwF27492,1998,Universidad de Barcelona,UDB02,si
Uoe93302,1992,Universidad de Barcelona,UDB02,si
iRC97724,1998,Universidad de Barcelona,UDB02,si
LGC82022,1995,Universidad de Barcelona,UDB02,si
nfi84142,1997,Universidad de La Laguna,ULL03,si
gQL41189,1993,Universidad de Madrid,UDM01,si
vTE90499,1990,Universidad de Barcelona,UDB02,no
EAn45390,1990,Universidad de La Laguna,ULL03,no
cEs15918,1982,Universidad de Madrid,UDM01,no
kbE90117,1985,Universidad de Madrid,UDM01,no
UwE42497,1982,Universidad de Barcelona,UDB02,no
XKN84014,1985,Universidad de Madrid,UDM01,no
utV09190,1982,Universidad de La Laguna,ULL03,no
suv07187,1996,Universidad de La Laguna,ULL03,si
HkF72183,1992,Universidad de La Laguna,ULL03,si
vIZ20671,1995,Universidad de Madrid,UDM01,si
UyZ51784,1983,Universidad de Madrid,UDM01,no
YoY62172,1988,Universidad de Barcelona,UDB02,no
IUb12074,1999,Universidad de Madrid,UDM01,si
SIw83223,1991,Universidad de Madrid,UDM01,no
mXG05426,1992,Universidad de Barcelona,UDB02,no
fKK03743,1988,Universidad de Barcelona,UDB02,no
pBA87958,1981,Universidad de Barcelona,UDB02,si
xVs69719,1990,Universidad de La Laguna,ULL03,si
vhr23517,1999,Universidad de La Laguna,ULL03,no
OOg39177,1998,Universidad de Barcelona,UDB02,si
Sgj48984,1988,Universidad de Barcelona,UDB02,si
zOE25623,1986,Universidad de Barcelona,UDB02,si
yyb55717,1984,Universidad de Barcelona,UDB02,no
urS39016,1988,Universidad de La Laguna,ULL03,no
ICQ38652,1998,Universidad de Madrid,UDM01,si
ySy93979,1994,Universidad de Barcelona,UDB02,si
LBG07722,1990,Universidad de La Laguna,ULL03,no
crG55708,1982,Universidad de Barcelona,UDB02,si
YIM46707,1988,Universidad de La Laguna,ULL03,si
GHN42037,1987,Universidad de Madrid,UDM01,si
VNp89854,1998,Universidad de La Laguna,ULL03,si
iPR97837,1994,Universidad de Madrid,UDM01,no
OTn94306,1996,Universidad de Madrid,UDM01,si
ktJ94065,1982,Universidad de La Laguna,ULL03,si
Ofy41534,1989,Universidad de Barcelona,UDB02,si
nar79283,1986,Universidad de Madrid,UDM01,si
bnP16487,1989,Universidad de Barcelona,UDB02,si
fdR48502,1997,Universidad de La Laguna,ULL03,no
mVt69226,1993,Universidad de La Laguna,ULL03,si
LSE93747,1997,Universidad de La Laguna,ULL03,si
XDE04595,1988,Universidad de Barcelona,UDB02,no
AbP82093,1985,Universidad de Barcelona,UDB02,si
qwE09391,1980,Universidad de Madrid,UDM01,si
gRw70280,1986,Universidad de Barcelona,UDB02,si
Fqi14996,1988,Universidad de Madrid,UDM01,si
sAR05329,1988,Universidad de Barcelona,UDB02,no
biF62722,1991,Universidad de La Laguna,ULL03,si
KST91759,1982,Universidad de La Laguna,ULL03,no
Uqs19849,1991,Universidad de La Laguna,ULL03,si
JcS92962,1999,Universidad de La Laguna,ULL03,si
UGS65485,1989,Universidad de Madrid,UDM01,no
KmY87587,1987,Universidad de La Laguna,ULL03,no
OKS12219,1982,Universidad de La Laguna,ULL03,no
fus44623,1982,Universidad de La Laguna,ULL03,no
nDY42566,1987,Universidad de Madrid,UDM01,no
iNB36856,1998,Universidad de La Laguna,ULL03,si
RhR03918,1983,Universidad de Madrid,UDM01,no
Any04327,1986,Universidad de Madrid,UDM01,si
IEj10325,1990,Universidad de Madrid,UDM01,no
SWm89465,1991,Universidad de La Laguna,ULL03,si
kSL19848,1991,Universidad de Barcelona,UDB02,si
cMj29638,1998,Universidad de Barcelona,UDB02,si
uVU25746,1992,Universidad de Barcelona,UDB02,si
Xrv08087,1998,Universidad de Madrid,UDM01,no
mzQ05273,1983,Universidad de La Laguna,ULL03,no
vpO19407,1996,Universidad de La Laguna,ULL03,no
Elw75304,1986,Universidad de Barcelona,UDB02,no
BVG36517,1991,Universidad de Madrid,UDM01,si
ZFV35251,1980,Universidad de La Laguna,ULL03,si
JHQ89840,1995,Universidad de La Laguna,ULL03,si
TpM24056,1990,Universidad de Madrid,UDM01,no
XEm74973,1988,Universidad de La Laguna,ULL03,no
bXT93654,1992,Universidad de Barcelona,UDB02,no
Xyt42715,1999,Universidad de Barcelona,UDB02,si
abc16867,1988,Universidad de La Laguna,ULL03,si
VsN52983,1983,Universidad de Madrid,UDM01,si
OWs26574,1981,Universidad de Madrid,UDM01,si
lAx47543,1987,Universidad de Barcelona,UDB02,si
sQs42768,1991,Universidad de La Laguna,ULL03,no
SJz77246,1994,Universidad de La Laguna,ULL03,no
rVW30302,1982,Universidad de La Laguna,ULL03,no
hRp89967,1985,Universidad de Barcelona,UDB02,si
bsg08732,1983,Universidad de La Laguna,ULL03,no
hNa67741,1995,Universidad de Madrid,UDM01,si
zIG53327,1989,Universidad de La Laguna,ULL03,si
BxV37451,1991,Universidad de La Laguna,ULL03,no
xKP20430,1995,Universidad de Barcelona,UDB02,si
PwP98383,1988,Universidad de Madrid,UDM01,si
cWe86467,1993,Universidad de La Laguna,ULL03,si
Nwq65497,1988,Universidad de Madrid,UDM01,si
Xbb30163,1998,Universidad de Barcelona,UDB02,si
GBf55774,1992,Universidad de La Laguna,ULL03,no
oLr62017,1982,Universidad de Madrid,UDM01,si
sIB45437,1987,Universidad de Barcelona,UDB02,si
xWU92532,1980,Universidad de Barcelona,UDB02,no
HZZ08996,1990,Universidad de Barcelona,UDB02,no
Csn14550,1981,Universidad de Barcelona,UDB02,si
Jaf43476,1994,Universidad de La Laguna,ULL03,si
HSH01251,1996,Universidad de Madrid,UDM01,si
JMT12403,1992,Universidad de La Laguna,ULL03,no
Scm69542,1998,Universidad de Madrid,UDM01,si
Pgs53233,1999,Universidad de Madrid,UDM01,no
WrT97587,1990,Universidad de Barcelona,UDB02,no
YPJ60609,1984,Universidad de La Laguna,ULL03,si
WUV57715,1993,Universidad de Madrid,UDM01,si
fMg84356,1986,Universidad de La Laguna,ULL03,si
BkK13096,1982,Universidad de La Laguna,ULL03,si
Snk53382,1985,Universidad de Barcelona,UDB02,no
jZS95317,1983,Universidad de Madrid,UDM01,no
FdH12565,1987,Universidad de La Laguna,ULL03,si
pHD90082,1997,Universidad de La Laguna,ULL03,no
HxB76641,1981,Universidad de La Laguna,ULL03,no
qad76081,1992,Universidad de Madrid,UDM01,no
PDK27944,1995,Universidad de Madrid,UDM01,no
Mrb81054,1992,Universidad de Madrid,UDM01,si
dBo99424,1986,Universidad de Barcelona,UDB02,si
UqI45651,1983,Universidad de La Laguna,ULL03,no
orA72151,1998,Universidad de Madrid,UDM01,no
Ltq74564,1997,Universidad de Barcelona,UDB02,no
heK85752,1994,Universidad de Madrid,UDM01,no
NHG44806,1998,Universidad de Madrid,UDM01,no
MYc32574,1989,Universidad de La Laguna,ULL03,no
uJs60562,1985,Universidad de La Laguna,ULL03,si
CYP73376,1989,Universidad de La Laguna,ULL03,no
qro30649,1993,Universidad de La Laguna,ULL03,si
BoR85485,1988,Universidad de Barcelona,UDB02,no
TBR24313,1994,Universidad de Barcelona,UDB02,si
SsF01080,1980,Universidad de La Laguna,ULL03,si
DVm68181,1995,Universidad de La Laguna,ULL03,no
KcH05568,1995,Universidad de La Laguna,ULL03,si
MEn02205,1995,Universidad de Madrid,UDM01,no
YPz30732,1981,Universidad de Barcelona,UDB02,no
SIO70302,1995,Universidad de Madrid,UDM01,si
KmT17974,1986,Universidad de Barcelona,UDB02,no
HhJ08380,1985,Universidad de Madrid,UDM01,si
eVS63583,1987,Universidad de Madrid,UDM01,si
bpa43115,1992,Universidad de La Laguna,ULL03,no
kJZ25002,1997,Universidad de La Laguna,ULL03,si
SZI98862,1991,Universidad de La Laguna,ULL03,si
nUN59063,1999,Universidad de La Laguna,ULL03,no
VQl58603,1984,Universidad de Barcelona,UDB02,no
MAI32691,1987,Universidad de La Laguna,ULL03,no
cgK35222,1993,Universidad de Barcelona,UDB02,si
uBW96448,1991,Universidad de Madrid,UDM01,si
dQQ05497,1989,Universidad de Madrid,UDM01,no
xwf24478,1981,Universidad de Barcelona,UDB02,no
eHR41796,1990,Universidad de Barcelona,UDB02,no
ZMQ37650,1998,Universidad de Barcelona,UDB02,no
akK78441,1984,Universidad de La Laguna,ULL03,no
jXr32022,1990,Universidad de Madrid,UDM01,no
hez25790,1990,Universidad de Barcelona,UDB02,si
pUC46629,1991,Universidad de Madrid,UDM01,no
BgC17557,1994,Universidad de Barcelona,UDB02,si
mVY83467,1983,Universidad de La Laguna,ULL03,si
zAY24921,1980,Universidad de La Laguna,ULL03,no
JNr37328,1986,Universidad de Madrid,UDM01,si
eDC52495,1989,Universidad de Madrid,UDM01,no
EMn91629,1982,Universidad de Barcelona,UDB02,si
Qta84043,1998,Universidad de Madrid,UDM01,no
hHX25257,1989,Universidad de La Laguna,ULL03,no
MvQ40254,1996,Universidad de Barcelona,UDB02,si
Vyk90499,1987,Universidad de Barcelona,UDB02,si
rdr78198,1989,Universidad de Barcelona,UDB02,no
tUk93545,1994,Universidad de La Laguna,ULL03,si
yLv86903,1990,Universidad de Barcelona,UDB02,no
RCf88648,1984,Universidad de Madrid,UDM01,no
PnY47326,1999,Universidad de Madrid,UDM01,no
Nqx96986,1980,Universidad de La Laguna,ULL03,si
BTg72158,1998,Universidad de Barcelona,UDB02,no
eFI75860,1987,Universidad de Barcelona,UDB02,no
bkW55770,1990,Universidad de Barcelona,UDB02,si
plC13555,1984,Universidad de La Laguna,ULL03,si
zoh03056,1993,Universidad de La Laguna,ULL03,si
XVx15941,1987,Universidad de Madrid,UDM01,si
YWr28733,1993,Universidad de La Laguna,ULL03,si
Yod76591,1984,Universidad de La Laguna,ULL03,no
qMg05123,1994,Universidad de Barcelona,UDB02,si
zVe99186,1990,Universidad de La Laguna,ULL03,no
fDB10368,1993,Universidad de Barcelona,UDB02,no
Wre47456,1985,Universidad de Madrid,UDM01,si
IXS54555,1999,Universidad de Barcelona,UDB02,si
PTS96534,1989,Universidad de Madrid,UDM01,no
jyb06266,1998,Universidad de La Laguna,ULL03,si
FUQ77128,1995,Universidad de Madrid,UDM01,si
Gwr57124,1984,Universidad de Barcelona,UDB02,no
BWq89884,1987,Universidad de La Laguna,ULL03,si
DzB43435,1996,Universidad de Madrid,UDM01,no
qXV74549,1982,Universidad de La Laguna,ULL03,no
xyI11995,1993,Universidad de Barcelona,UDB02,no
Dtx04211,1996,Universidad de Madrid,UDM01,si
Owt11363,1992,Universidad de La Laguna,ULL03,si
pdj40914,1984,Universidad de La Laguna,ULL03,si
Doq05002,1993,Universidad de Madrid,UDM01,no
hxJ86178,1983,Universidad de Madrid,UDM01,si
WxH26183,1995,Universidad de Barcelona,UDB02,no
WyR43929,1994,Universidad de Barcelona,UDB02,no
