indice,ambito_isced,cod_plan,cod_mec,curso_aca,municipio,nacionalidad,nuevo_ingreso,provincia,rama,sexo,titulacion,nombre_plan_propio,universidad,cod_universidad,cod_tipo_matricula,tipo_matricula,id
13,IS52,PLAN367gw,MEC07,2021/2022,Valencia,Panamá,no,Salamanca,Ciencias de la Salud,Masculino,Medicina,eaque,Universidad de Barcelona,UDB02,T12,sapiente,HZT55367
14,IS09,PLAN367gw,MEC99,2023/2024,Valencia,Panamá,no,Salamanca,Ciencias de la Salud,Masculino,Medicina,eaque,Universidad de Barcelona,UDB02,T12,sapiente,HZT55367
15,IS25,PLAN367gw,MEC19,2020/2021,Valencia,Panamá,no,Salamanca,Ciencias de la Salud,Masculino,Medicina,eaque,Universidad de Barcelona,UDB02,T12,sapiente,HZT55367
16,IS46,PLAN180hL,MEC59,2021/2022,Cáceres,Georgia,si,Navarra,Humanidades,Masculino,Historia,sequi,Universidad de Madrid,UDM01,T07,quasi,lJJ27682
17,IS12,PLAN367gw,MEC28,2019/2020,Ceuta,Bulgaria,si,Ávila,Ciencias de la Salud,Masculino,Medicina,quibusdam,Universidad de Madrid,UDM01,T15,minus,ohi23797
18,IS32,PLAN367gw,MEC50,2022/2023,Ceuta,Bulgaria,no,Ávila,Ciencias de la Salud,Masculino,Medicina,quibusdam,Universidad de Madrid,UDM01,T15,minus,ohi23797
19,IS95,PLAN180hL,MEC92,2022/2023,Cantabria,Fiji,si,Alicante,Humanidades,Femenino,Historia,aliquam,Universidad de La Laguna,ULL03,T32,aliquid,eDD88344
20,IS94,PLAN180hL,MEC08,2020/2021,Cantabria,Fiji,no,Alicante,Humanidades,Femenino,Historia,aliquam,Universidad de La Laguna,ULL03,T32,aliquid,eDD88344
21,IS16,PLAN180hL,MEC62,2023/2024,Cantabria,Fiji,no,Alicante,Humanidades,Femenino,Historia,aliquam,Universidad de La Laguna,ULL03,T32,aliquid,eDD88344
22,IS73,PLAN367gw,MEC72,2021/2022,Lugo,Tailandia,si,Palencia,Ciencias de la Salud,Femenino,Medicina,officia,Universidad de Barcelona,UDB02,T69,quas,ysk66229
23,IS85,PLAN367gw,MEC94,2023/2024,Lugo,Tailandia,no,Palencia,Ciencias de la Salud,Femenino,Medicina,officia,Universidad de Barcelona,UDB02,T69,quas,ysk66229
24,IS61,PLAN367gw,MEC96,2018/2019,Lugo,Tailandia,no,Palencia,Ciencias de la Salud,Femenino,Medicina,officia,Universidad de Barcelona,UDB02,T69,quas,ysk66229
25,IS39,PLAN367gw,MEC70,2017/2018,Lugo,Tailandia,no,Palencia,Ciencias de la Salud,Femenino,Medicina,officia,Universidad de Barcelona,UDB02,T69,quas,ysk66229
26,IS94,PLAN367gw,MEC99,2022/2023,Lugo,Tailandia,no,Palencia,Ciencias de la Salud,Femenino,Medicina,officia,Universidad de Barcelona,UDB02,T69,quas,ysk66229
27,IS40,PLAN367gw,MEC80,2020/2021,Huelva,República de Corea,si,Alicante,Ciencias de la Salud,Masculino,Medicina,atque,Universidad de Barcelona,UDB02,T56,rerum,cfZ71489
28,IS55,PLAN367gw,MEC65,2023/2024,Huelva,República de Corea,no,Alicante,Ciencias de la Salud,Masculino,Medicina,atque,Universidad de Barcelona,UDB02,T56,rerum,cfZ71489
29,IS68,PLAN983cq,MEC92,2020/2021,Lugo,Ecuador,si,Las Palmas,Ingeniería y Tecnología,Femenino,Ingeniería Informática,quas,Universidad de Barcelona,UDB02,T14,atque,Uyg37920
30,IS16,PLAN983cq,MEC56,2018/2019,Lugo,Ecuador,no,Las Palmas,Ingeniería y Tecnología,Femenino,Ingeniería Informática,quas,Universidad de Barcelona,UDB02,T14,atque,Uyg37920
31,IS53,PLAN367gw,MEC42,2023/2024,Cáceres,Kirguistán,si,Melilla,Ciencias de la Salud,Masculino,Medicina,repellendus,Universidad de Madrid,UDM01,T17,aliquid,gRe60427
32,IS18,PLAN367gw,MEC12,2018/2019,Cáceres,Kirguistán,no,Melilla,Ciencias de la Salud,Masculino,Medicina,repellendus,Universidad de Madrid,UDM01,T17,aliquid,gRe60427
33,IS34,PLAN367gw,MEC25,2019/2020,Cáceres,Kirguistán,no,Melilla,Ciencias de la Salud,Masculino,Medicina,repellendus,Universidad de Madrid,UDM01,T17,aliquid,gRe60427
34,IS14,PLAN367gw,MEC19,2017/2018,Cáceres,Kirguistán,no,Melilla,Ciencias de la Salud,Masculino,Medicina,repellendus,Universidad de Madrid,UDM01,T17,aliquid,gRe60427
35,IS70,PLAN367gw,MEC03,2019/2020,Alicante,Brasil,si,Barcelona,Ciencias de la Salud,Masculino,Medicina,iste,Universidad de La Laguna,ULL03,T58,vitae,bcg49937
36,IS54,PLAN367gw,MEC78,2021/2022,Pontevedra,Brunei Darussalam,si,Valladolid,Ciencias de la Salud,Masculino,Medicina,quisquam,Universidad de Barcelona,UDB02,T61,enim,lDl56865
37,IS47,PLAN367gw,MEC52,2019/2020,Pontevedra,Brunei Darussalam,no,Valladolid,Ciencias de la Salud,Masculino,Medicina,quisquam,Universidad de Barcelona,UDB02,T61,enim,lDl56865
38,IS39,PLAN367gw,MEC91,2023/2024,Pontevedra,Brunei Darussalam,no,Valladolid,Ciencias de la Salud,Masculino,Medicina,quisquam,Universidad de Barcelona,UDB02,T61,enim,lDl56865
39,IS83,PLAN983cq,MEC90,2022/2023,Cantabria,Sierra Leona,si,Ciudad,Ingeniería y Tecnología,Masculino,Ingeniería Informática,alias,Universidad de La Laguna,ULL03,T26,eveniet,nov07487
40,IS88,PLAN983cq,MEC96,2017/2018,Cantabria,Sierra Leona,no,Ciudad,Ingeniería y Tecnología,Masculino,Ingeniería Informática,alias,Universidad de La Laguna,ULL03,T26,eveniet,nov07487
41,IS52,PLAN983cq,MEC89,2019/2020,Cantabria,Sierra Leona,no,Ciudad,Ingeniería y Tecnología,Masculino,Ingeniería Informática,alias,Universidad de La Laguna,ULL03,T26,eveniet,nov07487
42,IS77,PLAN983cq,MEC76,2021/2022,Cantabria,Sierra Leona,no,Ciudad,Ingeniería y Tecnología,Masculino,Ingeniería Informática,alias,Universidad de La Laguna,ULL03,T26,eveniet,nov07487
43,IS18,PLAN367gw,MEC03,2021/2022,Soria,Bahrein,si,Soria,Ciencias de la Salud,Femenino,Medicina,nisi,Universidad de Madrid,UDM01,T50,facilis,YAd86690
44,IS43,PLAN367gw,MEC42,2019/2020,Soria,Bahrein,no,Soria,Ciencias de la Salud,Femenino,Medicina,nisi,Universidad de Madrid,UDM01,T50,facilis,YAd86690
45,IS46,PLAN367gw,MEC64,2020/2021,Soria,Bahrein,no,Soria,Ciencias de la Salud,Femenino,Medicina,nisi,Universidad de Madrid,UDM01,T50,facilis,YAd86690
46,IS76,PLAN367gw,MEC68,2017/2018,Soria,Bahrein,no,Soria,Ciencias de la Salud,Femenino,Medicina,nisi,Universidad de Madrid,UDM01,T50,facilis,YAd86690
47,IS67,PLAN367gw,MEC89,2022/2023,Girona,Malasia,si,Huelva,Ciencias de la Salud,Femenino,Medicina,beatae,Universidad de Madrid,UDM01,T08,a,nuq45300
48,IS17,PLAN367gw,MEC43,2019/2020,Girona,Malasia,no,Huelva,Ciencias de la Salud,Femenino,Medicina,beatae,Universidad de Madrid,UDM01,T08,a,nuq45300
49,IS88,PLAN367gw,MEC79,2019/2020,Girona,Dominicana,si,Toledo,Ciencias de la Salud,Femenino,Medicina,veniam,Universidad de Barcelona,UDB02,T54,atque,dkA84173
50,IS59,PLAN367gw,MEC40,2023/2024,Girona,Dominicana,no,Toledo,Ciencias de la Salud,Femenino,Medicina,veniam,Universidad de Barcelona,UDB02,T54,atque,dkA84173
51,IS83,PLAN367gw,MEC73,2017/2018,Girona,Dominicana,no,Toledo,Ciencias de la Salud,Femenino,Medicina,veniam,Universidad de Barcelona,UDB02,T54,atque,dkA84173
52,IS57,PLAN367gw,MEC01,2020/2021,Girona,Dominicana,no,Toledo,Ciencias de la Salud,Femenino,Medicina,veniam,Universidad de Barcelona,UDB02,T54,atque,dkA84173
53,IS73,PLAN367gw,MEC55,2017/2018,Toledo,Brunei Darussalam,si,Huelva,Ciencias de la Salud,Femenino,Medicina,minima,Universidad de Barcelona,UDB02,T77,repellendus,wTn56572
54,IS70,PLAN367gw,MEC67,2019/2020,Toledo,Brunei Darussalam,no,Huelva,Ciencias de la Salud,Femenino,Medicina,minima,Universidad de Barcelona,UDB02,T77,repellendus,wTn56572
55,IS82,PLAN485Fi,MEC93,2019/2020,Badajoz,República de Moldova,si,Santa Cruz de Tenerife,Ciencias Sociales y Jurídicas,Femenino,Derecho,dignissimos,Universidad de La Laguna,ULL03,T43,explicabo,qda41859
56,IS47,PLAN485Fi,MEC53,2020/2021,Badajoz,República de Moldova,no,Santa Cruz de Tenerife,Ciencias Sociales y Jurídicas,Femenino,Derecho,dignissimos,Universidad de La Laguna,ULL03,T43,explicabo,qda41859
57,IS12,PLAN485Fi,MEC40,2018/2019,Badajoz,República de Moldova,no,Santa Cruz de Tenerife,Ciencias Sociales y Jurídicas,Femenino,Derecho,dignissimos,Universidad de La Laguna,ULL03,T43,explicabo,qda41859
58,IS55,PLAN485Fi,MEC29,2017/2018,Badajoz,República de Moldova,no,Santa Cruz de Tenerife,Ciencias Sociales y Jurídicas,Femenino,Derecho,dignissimos,Universidad de La Laguna,ULL03,T43,explicabo,qda41859
59,IS04,PLAN180hL,MEC04,2017/2018,Badajoz,Swazilandia,si,Granada,Humanidades,Femenino,Historia,veritatis,Universidad de Barcelona,UDB02,T21,quas,wFX32130
60,IS39,PLAN180hL,MEC82,2019/2020,Badajoz,Swazilandia,no,Granada,Humanidades,Femenino,Historia,veritatis,Universidad de Barcelona,UDB02,T21,quas,wFX32130
61,IS39,PLAN180hL,MEC58,2021/2022,Badajoz,Swazilandia,no,Granada,Humanidades,Femenino,Historia,veritatis,Universidad de Barcelona,UDB02,T21,quas,wFX32130
62,IS93,PLAN180hL,MEC57,2020/2021,Badajoz,Swazilandia,no,Granada,Humanidades,Femenino,Historia,veritatis,Universidad de Barcelona,UDB02,T21,quas,wFX32130
63,IS07,PLAN983cq,MEC30,2022/2023,La Rioja,Myanmar,si,Tarragona,Ingeniería y Tecnología,Femenino,Ingeniería Informática,incidunt,Universidad de Madrid,UDM01,T87,libero,Cpa35040
64,IS92,PLAN983cq,MEC09,2017/2018,La Rioja,Myanmar,no,Tarragona,Ingeniería y Tecnología,Femenino,Ingeniería Informática,incidunt,Universidad de Madrid,UDM01,T87,libero,Cpa35040
65,IS73,PLAN367gw,MEC55,2021/2022,Almería,Argentina,si,Tarragona,Ciencias de la Salud,Femenino,Medicina,vero,Universidad de Madrid,UDM01,T52,aspernatur,svw87778
66,IS30,PLAN367gw,MEC57,2019/2020,Almería,Argentina,no,Tarragona,Ciencias de la Salud,Femenino,Medicina,vero,Universidad de Madrid,UDM01,T52,aspernatur,svw87778
67,IS91,PLAN367gw,MEC19,2017/2018,Almería,Argentina,no,Tarragona,Ciencias de la Salud,Femenino,Medicina,vero,Universidad de Madrid,UDM01,T52,aspernatur,svw87778
68,IS30,PLAN367gw,MEC26,2020/2021,Almería,Argentina,no,Tarragona,Ciencias de la Salud,Femenino,Medicina,vero,Universidad de Madrid,UDM01,T52,aspernatur,svw87778
69,IS03,PLAN180hL,MEC64,2020/2021,Badajoz,Camerún,si,Cáceres,Humanidades,Femenino,Historia,distinctio,Universidad de La Laguna,ULL03,T30,dolor,CvQ72011
70,IS76,PLAN367gw,MEC92,2021/2022,Badajoz,India,si,Ciudad,Ciencias de la Salud,Femenino,Medicina,molestiae,Universidad de La Laguna,ULL03,T15,ad,jCB51695
71,IS20,PLAN180hL,MEC17,2020/2021,Guipúzcoa,Sri Lanka,si,Zaragoza,Humanidades,Femenino,Historia,quod,Universidad de Madrid,UDM01,T08,esse,LDZ24932
72,IS59,PLAN180hL,MEC64,2023/2024,Guipúzcoa,Sri Lanka,no,Zaragoza,Humanidades,Femenino,Historia,quod,Universidad de Madrid,UDM01,T08,esse,LDZ24932
73,IS51,PLAN983cq,MEC50,2023/2024,Córdoba,Armenia,si,Cáceres,Ingeniería y Tecnología,Masculino,Ingeniería Informática,optio,Universidad de La Laguna,ULL03,T94,iure,UKG81213
74,IS00,PLAN983cq,MEC97,2017/2018,Córdoba,Armenia,no,Cáceres,Ingeniería y Tecnología,Masculino,Ingeniería Informática,optio,Universidad de La Laguna,ULL03,T94,iure,UKG81213
75,IS09,PLAN983cq,MEC87,2020/2021,Córdoba,Armenia,no,Cáceres,Ingeniería y Tecnología,Masculino,Ingeniería Informática,optio,Universidad de La Laguna,ULL03,T94,iure,UKG81213
76,IS20,PLAN983cq,MEC50,2019/2020,Córdoba,Armenia,no,Cáceres,Ingeniería y Tecnología,Masculino,Ingeniería Informática,optio,Universidad de La Laguna,ULL03,T94,iure,UKG81213
77,IS74,PLAN983cq,MEC27,2018/2019,Córdoba,Armenia,no,Cáceres,Ingeniería y Tecnología,Masculino,Ingeniería Informática,optio,Universidad de La Laguna,ULL03,T94,iure,UKG81213
78,IS74,PLAN180hL,MEC39,2022/2023,Málaga,Portugal,si,Guadalajara,Humanidades,Femenino,Historia,facilis,Universidad de Madrid,UDM01,T96,rem,OgM88753
79,IS89,PLAN180hL,MEC47,2021/2022,Málaga,Portugal,no,Guadalajara,Humanidades,Femenino,Historia,facilis,Universidad de Madrid,UDM01,T96,rem,OgM88753
80,IS61,PLAN180hL,MEC13,2019/2020,Málaga,Portugal,no,Guadalajara,Humanidades,Femenino,Historia,facilis,Universidad de Madrid,UDM01,T96,rem,OgM88753
81,IS12,PLAN180hL,MEC98,2020/2021,Málaga,Portugal,no,Guadalajara,Humanidades,Femenino,Historia,facilis,Universidad de Madrid,UDM01,T96,rem,OgM88753
82,IS02,PLAN983cq,MEC83,2022/2023,Melilla,Bosnia y Herzegovina,si,Zamora,Ingeniería y Tecnología,Femenino,Ingeniería Informática,autem,Universidad de La Laguna,ULL03,T24,sed,ChF12116
83,IS98,PLAN983cq,MEC98,2017/2018,Melilla,Bosnia y Herzegovina,no,Zamora,Ingeniería y Tecnología,Femenino,Ingeniería Informática,autem,Universidad de La Laguna,ULL03,T24,sed,ChF12116
84,IS63,PLAN983cq,MEC17,2023/2024,Melilla,Bosnia y Herzegovina,no,Zamora,Ingeniería y Tecnología,Femenino,Ingeniería Informática,autem,Universidad de La Laguna,ULL03,T24,sed,ChF12116
85,IS13,PLAN983cq,MEC75,2019/2020,Melilla,Bosnia y Herzegovina,no,Zamora,Ingeniería y Tecnología,Femenino,Ingeniería Informática,autem,Universidad de La Laguna,ULL03,T24,sed,ChF12116
86,IS68,PLAN180hL,MEC51,2021/2022,Salamanca,Togo,si,Madrid,Humanidades,Femenino,Historia,accusantium,Universidad de Barcelona,UDB02,T32,reprehenderit,WwS67801
87,IS12,PLAN180hL,MEC33,2020/2021,Salamanca,Togo,no,Madrid,Humanidades,Femenino,Historia,accusantium,Universidad de Barcelona,UDB02,T32,reprehenderit,WwS67801
88,IS11,PLAN180hL,MEC28,2023/2024,Salamanca,Togo,no,Madrid,Humanidades,Femenino,Historia,accusantium,Universidad de Barcelona,UDB02,T32,reprehenderit,WwS67801
89,IS39,PLAN367gw,MEC25,2017/2018,Lleida,Alemania,si,Cuenca,Ciencias de la Salud,Masculino,Medicina,dolorem,Universidad de Barcelona,UDB02,T58,velit,nCa64066
90,IS92,PLAN367gw,MEC80,2019/2020,Lleida,Alemania,no,Cuenca,Ciencias de la Salud,Masculino,Medicina,dolorem,Universidad de Barcelona,UDB02,T58,velit,nCa64066
91,IS87,PLAN367gw,MEC66,2021/2022,Lleida,Alemania,no,Cuenca,Ciencias de la Salud,Masculino,Medicina,dolorem,Universidad de Barcelona,UDB02,T58,velit,nCa64066
92,IS46,PLAN367gw,MEC21,2020/2021,Lleida,Alemania,no,Cuenca,Ciencias de la Salud,Masculino,Medicina,dolorem,Universidad de Barcelona,UDB02,T58,velit,nCa64066
93,IS49,PLAN367gw,MEC93,2023/2024,Lleida,Alemania,no,Cuenca,Ciencias de la Salud,Masculino,Medicina,dolorem,Universidad de Barcelona,UDB02,T58,velit,nCa64066
94,IS99,PLAN485Fi,MEC10,2019/2020,Burgos,Santo Tomé y Príncipe,si,Vizcaya,Ciencias Sociales y Jurídicas,Masculino,Derecho,ex,Universidad de La Laguna,ULL03,T78,alias,wPR74513
95,IS75,PLAN485Fi,MEC18,2022/2023,Huesca,Guinea Bissau,si,Valencia,Ciencias Sociales y Jurídicas,Masculino,Derecho,perspiciatis,Universidad de Barcelona,UDB02,T93,eos,FXH57933
96,IS79,PLAN485Fi,MEC44,2017/2018,Huesca,Guinea Bissau,no,Valencia,Ciencias Sociales y Jurídicas,Masculino,Derecho,perspiciatis,Universidad de Barcelona,UDB02,T93,eos,FXH57933
97,IS31,PLAN485Fi,MEC82,2023/2024,Huesca,Guinea Bissau,no,Valencia,Ciencias Sociales y Jurídicas,Masculino,Derecho,perspiciatis,Universidad de Barcelona,UDB02,T93,eos,FXH57933
98,IS13,PLAN485Fi,MEC25,2019/2020,Huesca,Guinea Bissau,no,Valencia,Ciencias Sociales y Jurídicas,Masculino,Derecho,perspiciatis,Universidad de Barcelona,UDB02,T93,eos,FXH57933
99,IS82,PLAN485Fi,MEC96,2018/2019,Huesca,Guinea Bissau,no,Valencia,Ciencias Sociales y Jurídicas,Masculino,Derecho,perspiciatis,Universidad de Barcelona,UDB02,T93,eos,FXH57933
100,IS24,PLAN485Fi,MEC80,2020/2021,La Rioja,Malasia,si,Tarragona,Ciencias Sociales y Jurídicas,Masculino,Derecho,sint,Universidad de La Laguna,ULL03,T96,quam,uoL11258
101,IS20,PLAN485Fi,MEC35,2022/2023,La Rioja,Malasia,no,Tarragona,Ciencias Sociales y Jurídicas,Masculino,Derecho,sint,Universidad de La Laguna,ULL03,T96,quam,uoL11258
102,IS75,PLAN485Fi,MEC87,2019/2020,La Rioja,Malasia,no,Tarragona,Ciencias Sociales y Jurídicas,Masculino,Derecho,sint,Universidad de La Laguna,ULL03,T96,quam,uoL11258
103,IS40,PLAN485Fi,MEC73,2018/2019,La Rioja,Malasia,no,Tarragona,Ciencias Sociales y Jurídicas,Masculino,Derecho,sint,Universidad de La Laguna,ULL03,T96,quam,uoL11258
104,IS50,PLAN367gw,MEC49,2019/2020,Alicante,Tailandia,si,Las Palmas,Ciencias de la Salud,Masculino,Medicina,totam,Universidad de Madrid,UDM01,T71,dolores,Lxj17362
105,IS76,PLAN367gw,MEC94,2023/2024,Alicante,Tailandia,no,Las Palmas,Ciencias de la Salud,Masculino,Medicina,totam,Universidad de Madrid,UDM01,T71,dolores,Lxj17362
106,IS35,PLAN180hL,MEC65,2022/2023,Murcia,Rumania,si,Santa Cruz de Tenerife,Humanidades,Femenino,Historia,vero,Universidad de Barcelona,UDB02,T44,eligendi,uKh65990
107,IS76,PLAN180hL,MEC97,2023/2024,Murcia,Rumania,no,Santa Cruz de Tenerife,Humanidades,Femenino,Historia,vero,Universidad de Barcelona,UDB02,T44,eligendi,uKh65990
108,IS27,PLAN983cq,MEC18,2021/2022,Soria,Guyana,si,Cantabria,Ingeniería y Tecnología,Masculino,Ingeniería Informática,ratione,Universidad de La Laguna,ULL03,T55,voluptates,wtP85423
109,IS85,PLAN485Fi,MEC15,2018/2019,Madrid,Guatemala,si,Soria,Ciencias Sociales y Jurídicas,Femenino,Derecho,error,Universidad de Madrid,UDM01,T60,nesciunt,DYx71541
110,IS64,PLAN485Fi,MEC40,2020/2021,Madrid,Guatemala,no,Soria,Ciencias Sociales y Jurídicas,Femenino,Derecho,error,Universidad de Madrid,UDM01,T60,nesciunt,DYx71541
111,IS86,PLAN485Fi,MEC83,2021/2022,Madrid,Guatemala,no,Soria,Ciencias Sociales y Jurídicas,Femenino,Derecho,error,Universidad de Madrid,UDM01,T60,nesciunt,DYx71541
112,IS94,PLAN485Fi,MEC67,2022/2023,Madrid,Guatemala,no,Soria,Ciencias Sociales y Jurídicas,Femenino,Derecho,error,Universidad de Madrid,UDM01,T60,nesciunt,DYx71541
113,IS78,PLAN485Fi,MEC14,2023/2024,Madrid,Guatemala,no,Soria,Ciencias Sociales y Jurídicas,Femenino,Derecho,error,Universidad de Madrid,UDM01,T60,nesciunt,DYx71541
114,IS75,PLAN485Fi,MEC92,2020/2021,Huelva,Gabón,si,Alicante,Ciencias Sociales y Jurídicas,Femenino,Derecho,totam,Universidad de La Laguna,ULL03,T89,eum,MAX19373
115,IS95,PLAN485Fi,MEC23,2017/2018,Huelva,Gabón,no,Alicante,Ciencias Sociales y Jurídicas,Femenino,Derecho,totam,Universidad de La Laguna,ULL03,T89,eum,MAX19373
116,IS18,PLAN485Fi,MEC53,2023/2024,Huelva,Gabón,no,Alicante,Ciencias Sociales y Jurídicas,Femenino,Derecho,totam,Universidad de La Laguna,ULL03,T89,eum,MAX19373
117,IS00,PLAN983cq,MEC97,2017/2018,Girona,Lituania,si,Jaén,Ingeniería y Tecnología,Femenino,Ingeniería Informática,fugit,Universidad de La Laguna,ULL03,T69,quod,YOy27510
118,IS71,PLAN983cq,MEC72,2019/2020,Girona,Lituania,no,Jaén,Ingeniería y Tecnología,Femenino,Ingeniería Informática,fugit,Universidad de La Laguna,ULL03,T69,quod,YOy27510
119,IS56,PLAN983cq,MEC26,2019/2020,Jaén,Polonia,si,Palencia,Ingeniería y Tecnología,Femenino,Ingeniería Informática,voluptates,Universidad de Madrid,UDM01,T73,aperiam,TCu70341
120,IS68,PLAN180hL,MEC91,2020/2021,Melilla,Palau,si,Badajoz,Humanidades,Femenino,Historia,optio,Universidad de La Laguna,ULL03,T33,consectetur,VWa36267
121,IS58,PLAN180hL,MEC60,2018/2019,Melilla,Palau,no,Badajoz,Humanidades,Femenino,Historia,optio,Universidad de La Laguna,ULL03,T33,consectetur,VWa36267
122,IS20,PLAN180hL,MEC53,2017/2018,Melilla,Palau,no,Badajoz,Humanidades,Femenino,Historia,optio,Universidad de La Laguna,ULL03,T33,consectetur,VWa36267
123,IS47,PLAN180hL,MEC53,2021/2022,Melilla,Palau,no,Badajoz,Humanidades,Femenino,Historia,optio,Universidad de La Laguna,ULL03,T33,consectetur,VWa36267
124,IS98,PLAN180hL,MEC95,2022/2023,Melilla,Palau,no,Badajoz,Humanidades,Femenino,Historia,optio,Universidad de La Laguna,ULL03,T33,consectetur,VWa36267
125,IS44,PLAN180hL,MEC43,2020/2021,Cuenca,Madagascar,si,Ceuta,Humanidades,Femenino,Historia,ratione,Universidad de La Laguna,ULL03,T63,dolores,Pep48985
126,IS47,PLAN180hL,MEC26,2018/2019,Cuenca,Madagascar,no,Ceuta,Humanidades,Femenino,Historia,ratione,Universidad de La Laguna,ULL03,T63,dolores,Pep48985
127,IS46,PLAN180hL,MEC23,2021/2022,Cuenca,Madagascar,no,Ceuta,Humanidades,Femenino,Historia,ratione,Universidad de La Laguna,ULL03,T63,dolores,Pep48985
128,IS04,PLAN180hL,MEC66,2023/2024,Cuenca,Madagascar,no,Ceuta,Humanidades,Femenino,Historia,ratione,Universidad de La Laguna,ULL03,T63,dolores,Pep48985
129,IS11,PLAN180hL,MEC81,2017/2018,Cuenca,Madagascar,no,Ceuta,Humanidades,Femenino,Historia,ratione,Universidad de La Laguna,ULL03,T63,dolores,Pep48985
130,IS88,PLAN367gw,MEC82,2023/2024,La Rioja,Estonia,si,Ourense,Ciencias de la Salud,Masculino,Medicina,dolor,Universidad de La Laguna,ULL03,T36,voluptatem,xiK29535
131,IS04,PLAN367gw,MEC49,2018/2019,La Rioja,Estonia,no,Ourense,Ciencias de la Salud,Masculino,Medicina,dolor,Universidad de La Laguna,ULL03,T36,voluptatem,xiK29535
132,IS32,PLAN367gw,MEC66,2021/2022,La Rioja,Estonia,no,Ourense,Ciencias de la Salud,Masculino,Medicina,dolor,Universidad de La Laguna,ULL03,T36,voluptatem,xiK29535
133,IS02,PLAN485Fi,MEC41,2020/2021,Córdoba,Uganda,si,Cuenca,Ciencias Sociales y Jurídicas,Femenino,Derecho,dolores,Universidad de Madrid,UDM01,T90,minus,TUj75109
134,IS00,PLAN180hL,MEC61,2022/2023,Soria,Federación de Rusia,si,Zamora,Humanidades,Masculino,Historia,adipisci,Universidad de La Laguna,ULL03,T12,ad,rzx38809
135,IS49,PLAN180hL,MEC12,2017/2018,Soria,Federación de Rusia,no,Zamora,Humanidades,Masculino,Historia,adipisci,Universidad de La Laguna,ULL03,T12,ad,rzx38809
136,IS26,PLAN367gw,MEC70,2022/2023,Segovia,República Federal Democrática de Nepal,si,Barcelona,Ciencias de la Salud,Femenino,Medicina,laborum,Universidad de Madrid,UDM01,T70,quam,dxA47399
137,IS46,PLAN367gw,MEC36,2021/2022,Segovia,República Federal Democrática de Nepal,no,Barcelona,Ciencias de la Salud,Femenino,Medicina,laborum,Universidad de Madrid,UDM01,T70,quam,dxA47399
138,IS41,PLAN367gw,MEC96,2017/2018,Segovia,República Federal Democrática de Nepal,no,Barcelona,Ciencias de la Salud,Femenino,Medicina,laborum,Universidad de Madrid,UDM01,T70,quam,dxA47399
139,IS61,PLAN367gw,MEC02,2020/2021,Segovia,República Federal Democrática de Nepal,no,Barcelona,Ciencias de la Salud,Femenino,Medicina,laborum,Universidad de Madrid,UDM01,T70,quam,dxA47399
